"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"28019","CAROLEEN","Asheville","3",""
"28024","CLIFFSIDE","Asheville","3",""
"28043","FOREST CITY","Asheville","3",""
"28074","HARRIS","Asheville","3",""
"28076","HENRIETTA","Asheville","3",""
"28139","RUTHERFORDTON","Asheville","3",""
"28160","SPINDALE","Asheville","3",""
"28701","ALEXANDER","Asheville","3",""
"28704","ARDEN","Asheville","3",""
"28708","BALSAM GROVE","Asheville","3",""
"28709","BARNARDSVILLE","Asheville","3",""
"28710","BAT CAVE","Asheville","3",""
"28711","BLACK MOUNTAIN","Asheville","3",""
"28712","BREVARD","Asheville","3",""
"28713","BRYSON CITY","Asheville","3",""
"28715","CANDLER","Asheville","3",""
"28716","CANTON","Asheville","3",""
"28717","CASHIERS","Asheville","3",""
"28718","CEDAR MOUNTAIN","Asheville","3",""
"28719","CHEROKEE","Asheville","3",""
"28720","CHIMNEY ROCK","Asheville","3",""
"28721","CLYDE","Asheville","3",""
"28722","COLUMBUS","Asheville","3",""
"28723","CULLOWHEE","Asheville","3",""
"28724","DANA","Asheville","3",""
"28725","DILLSBORO","Asheville","3",""
"28726","EAST FLAT ROCK","Asheville","3",""
"28727","EDNEYVILLE","Asheville","3",""
"28728","ENKA","Asheville","3",""
"28729","ETOWAH","Asheville","3",""
"28730","FAIRVIEW","Asheville","3",""
"28731","FLAT ROCK","Asheville","3",""
"28732","FLETCHER","Asheville","3",""
"28734","FRANKLIN","Asheville","3",""
"28735","GERTON","Asheville","3",""
"28738","HAZELWOOD","Asheville","3",""
"28739","HENDERSONVILLE","Asheville","3",""
"28741","HIGHLANDS","Asheville","3",""
"28742","HORSE SHOE","Asheville","3",""
"28744","FRANKLIN","Asheville","3",""
"28745","LAKE JUNALUSKA","Asheville","3",""
"28746","LAKE LURE","Asheville","3",""
"28747","LAKE TOXAWAY","Asheville","3",""
"28748","LEICESTER","Asheville","3",""
"28750","LYNN","Asheville","3",""
"28751","MAGGIE VALLEY","Asheville","3",""
"28756","MILL SPRING","Asheville","3",""
