"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"30002","AVONDALE ESTATES","Atlanta","3",""
"30003","NORCROSS","Atlanta","3",""
"30004","ALPHARETTA","Atlanta","3",""
"30005","ALPHARETTA","Atlanta","3",""
"30006","MARIETTA","Atlanta","3",""
"30007","MARIETTA","Atlanta","3",""
"30008","MARIETTA","Atlanta","3",""
"30009","ALPHARETTA","Atlanta","3",""
"30010","NORCROSS","Atlanta","3",""
"30011","AUBURN","Atlanta","3",""
"30012","CONYERS","Atlanta","3",""
"30013","CONYERS","Atlanta","3",""
"30014","COVINGTON","Atlanta","3",""
"30015","COVINGTON","Atlanta","3",""
"30016","COVINGTON","Atlanta","3",""
"30017","GRAYSON","Atlanta","3",""
"30018","JERSEY","Atlanta","3",""
"30019","DACULA","Atlanta","3",""
"30021","CLARKSTON","Atlanta","3",""
"30022","ALPHARETTA","Atlanta","3",""
"30023","ALPHARETTA","Atlanta","3",""
"30024","SUWANEE","Atlanta","3",""
"30025","SOCIAL CIRCLE","Atlanta","3",""
"30026","NORTH METRO","Atlanta","3",""
"30028","CUMMING","Atlanta","3",""
"30029","NORTH METRO","Atlanta","3",""
"30030","DECATUR","Atlanta","3",""
"30031","DECATUR","Atlanta","3",""
"30032","DECATUR","Atlanta","3",""
"30033","DECATUR","Atlanta","3",""
"30034","DECATUR","Atlanta","3",""
"30035","DECATUR","Atlanta","3",""
"30036","DECATUR","Atlanta","3",""
"30037","DECATUR","Atlanta","3",""
"30038","LITHONIA","Atlanta","3",""
"30039","SNELLVILLE","Atlanta","3",""
"30040","CUMMING","Atlanta","3",""
"30041","CUMMING","Atlanta","3",""
"30042","LAWRENCEVILLE","Atlanta","3",""
"30043","LAWRENCEVILLE","Atlanta","3",""
"30044","LAWRENCEVILLE","Atlanta","3",""
"30045","LAWRENCEVILLE","Atlanta","3",""
"30046","LAWRENCEVILLE","Atlanta","3",""
"30047","LILBURN","Atlanta","3",""
"30048","LILBURN","Atlanta","3",""
"30049","LAWRENCEVILLE","Atlanta","3",""
"30052","LOGANVILLE","Atlanta","3",""
"30054","OXFORD","Atlanta","3",""
"30055","MANSFIELD","Atlanta","3",""
"30056","NEWBORN","Atlanta","3",""
"30058","LITHONIA","Atlanta","3",""
"30060","MARIETTA","Atlanta","3",""
"30061","MARIETTA","Atlanta","3",""
"30062","MARIETTA","Atlanta","3",""
"30063","MARIETTA","Atlanta","3",""
"30064","MARIETTA","Atlanta","3",""
"30065","MARIETTA","Atlanta","3",""
"30066","MARIETTA","Atlanta","3",""
"30067","MARIETTA","Atlanta","3",""
"30068","MARIETTA","Atlanta","3",""
"30069","MARIETTA","Atlanta","3",""
"30070","PORTERDALE","Atlanta","3",""
"30071","NORCROSS","Atlanta","3",""
"30072","PINE LAKE","Atlanta","3",""
"30074","REDAN","Atlanta","3",""
"30075","ROSWELL","Atlanta","3",""
"30076","ROSWELL","Atlanta","3",""
"30077","ROSWELL","Atlanta","3",""
"30078","SNELLVILLE","Atlanta","3",""
"30079","SCOTTDALE","Atlanta","3",""
"30080","SMYRNA","Atlanta","3",""
"30081","SMYRNA","Atlanta","3",""
"30082","SMYRNA","Atlanta","3",""
"30083","STONE MOUNTAIN","Atlanta","3",""
"30084","TUCKER","Atlanta","3",""
"30085","TUCKER","Atlanta","3",""
"30086","STONE MOUNTAIN","Atlanta","3",""
"30087","STONE MOUNTAIN","Atlanta","3",""
