"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"35004","MOODY","Birmingham","3",""
"35005","ADAMSVILLE","Birmingham","3",""
"35006","ADGER","Birmingham","3",""
"35007","ALABASTER","Birmingham","3",""
"35013","ALLGOOD","Birmingham","3","T400"
"35014","ALPINE","Birmingham","3",""
"35015","ALTON","Birmingham","3",""
"35020","BESSEMER","Birmingham","3",""
"35021","BESSEMER","Birmingham","3",""
"35022","BESSEMER","Birmingham","3",""
"35023","BESSEMER","Birmingham","3",""
"35032","BON AIR","Birmingham","3","T400"
"35034","BRENT","Birmingham","3","T400"
"35035","BRIERFIELD","Birmingham","3",""
"35036","BROOKSIDE","Birmingham","3",""
"35038","BURNWELL","Birmingham","3",""
"35040","CALERA","Birmingham","3",""
"35041","","Birmingham","3",""
"35042","CENTREVILLE","Birmingham","3","T400"
"35043","CHELSEA","Birmingham","3",""
"35044","CHILDERSBURG","Birmingham","3",""
"35048","CLAY","Birmingham","3",""
"35049","CLEVELAND","Birmingham","3",""
"35051","COLUMBIANA","Birmingham","3",""
"35052","COOK SPRINGS","Birmingham","3",""
"35053","CRANE HILL","Birmingham","3",""
"35054","CROPWELL","Birmingham","3",""
"35057","CULLMAN","Birmingham","3",""
"35060","DOCENA","Birmingham","3",""
"35061","DOLOMITE","Birmingham","3",""
"35062","DORA","Birmingham","3",""
"35063","EMPIRE","Birmingham","3",""
"35064","FAIRFIELD","Birmingham","3",""
"35068","FULTONDALE","Birmingham","3",""
"35070","GARDEN CITY","Birmingham","3","T400"
"35071","GARDENDALE","Birmingham","3",""
"35072","GOODWATER","Birmingham","3",""
"35073","GRAYSVILLE","Birmingham","3",""
"35074","GREEN POND","Birmingham","3",""
"35077","HANCEVILLE","Birmingham","3",""
"35078","HARPERSVILLE","Birmingham","3",""
"35079","HAYDEN","Birmingham","3",""
"35080","HELENA","Birmingham","3",""
"35085","JEMISON","Birmingham","3",""
"35091","KIMBERLY","Birmingham","3",""
"35094","LEEDS","Birmingham","3",""
"35096","LINCOLN","Birmingham","3",""
"35097","LOCUST FORK","Birmingham","3","T400"
"35111","MC CALLA","Birmingham","3",""
"35112","MARGARET","Birmingham","3",""
"35114","ALABASTER","Birmingham","3",""
"35115","MONTEVALLO","Birmingham","3",""
"35116","MORRIS","Birmingham","3",""
"35117","MOUNT OLIVE","Birmingham","3",""
"35118","MULGA","Birmingham","3",""
"35119","NEW CASTLE","Birmingham","3",""
"35120","ODENVILLE","Birmingham","3",""
"35121","ONEONTA","Birmingham","3",""
"35123","PALMERDALE","Birmingham","3",""
"35124","PELHAM","Birmingham","3",""
"35125","PELL CITY","Birmingham","3",""
"35126","PINSON","Birmingham","3",""
"35127","PLEASANT GROVE","Birmingham","3",""
"35128","PELL CITY","Birmingham","3",""
"35130","QUINTON","Birmingham","3",""
"35131","RAGLAND","Birmingham","3",""
"35133","REMLAP","Birmingham","3",""
"35135","RIVERSIDE","Birmingham","3",""
