"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"38237","MARTIN","Cape Girardeau","3",""
"38238","MARTIN","Cape Girardeau","3",""
"38257","SOUTH FULTON","Cape Girardeau","3",""
"38261","UNION CITY","Cape Girardeau","3",""
"38271","WOODLAND MILLS","Cape Girardeau","3",""
"38281","UNION CITY","Cape Girardeau","3",""
"42001","PADUCAH","Cape Girardeau","3",""
"42002","PADUCAH","Cape Girardeau","3",""
"42003","PADUCAH","Cape Girardeau","3",""
"42021","ARLINGTON","Cape Girardeau","3",""
"42022","BANDANA","Cape Girardeau","3",""
"42023","BARDWELL","Cape Girardeau","3",""
"42024","BARLOW","Cape Girardeau","3",""
"42027","BOAZ","Cape Girardeau","3",""
"42031","CLINTON","Cape Girardeau","3",""
"42032","COLUMBUS","Cape Girardeau","3",""
"42035","CUNNINGHAM","Cape Girardeau","3",""
"42039","FANCY FARM","Cape Girardeau","3",""
"42041","FULTON","Cape Girardeau","3",""
"42050","HICKMAN","Cape Girardeau","3",""
"42051","HICKORY","Cape Girardeau","3",""
"42053","KEVIL","Cape Girardeau","3",""
"42056","LA CENTER","Cape Girardeau","3",""
"42060","LOVELACEVILLE","Cape Girardeau","3",""
"42061","LOWES","Cape Girardeau","3",""
"42066","MAYFIELD","Cape Girardeau","3",""
"42069","MELBER","Cape Girardeau","3",""
"42070","MILBURN","Cape Girardeau","3",""
"42085","WATER VALLEY","Cape Girardeau","3",""
"42086","WEST PADUCAH","Cape Girardeau","3",""
"42087","WICKLIFFE","Cape Girardeau","3",""
"42088","WINGO","Cape Girardeau","3",""
"62905","ALTO PASS","Cape Girardeau","3",""
"62906","ANNA","Cape Girardeau","3",""
"62908","BELKNAP","Cape Girardeau","3",""
"62909","BOLES","Cape Girardeau","3",""
"62910","BROOKPORT","Cape Girardeau","3",""
"62912","BUNCOMBE","Cape Girardeau","3",""
"62914","CAIRO","Cape Girardeau","3",""
"62920","COBDEN","Cape Girardeau","3",""
"62923","CYPRESS","Cape Girardeau","3",""
"62926","DONGOLA","Cape Girardeau","3",""
"62941","GRAND CHAIN","Cape Girardeau","3",""
"62943","GRANTSBURG","Cape Girardeau","3",""
"62952","JONESBORO","Cape Girardeau","3",""
"62953","JOPPA","Cape Girardeau","3",""
"62956","KARNAK","Cape Girardeau","3",""
"62957","MC CLURE","Cape Girardeau","3",""
"62960","METROPOLIS","Cape Girardeau","3",""
"62961","MILLCREEK","Cape Girardeau","3",""
"62962","MILLER CITY","Cape Girardeau","3",""
"62963","MOUND CITY","Cape Girardeau","3",""
"62964","MOUNDS","Cape Girardeau","3",""
"62969","OLIVE BRANCH","Cape Girardeau","3",""
"62970","OLMSTED","Cape Girardeau","3",""
"62973","PERKS","Cape Girardeau","3",""
"62976","PULASKI","Cape Girardeau","3",""
"62985","SIMPSON","Cape Girardeau","3",""
"62988","TAMMS","Cape Girardeau","3",""
"62990","THEBES","Cape Girardeau","3",""
"62992","ULLIN","Cape Girardeau","3",""
"62993","UNITY","Cape Girardeau","3",""
"62995","VIENNA","Cape Girardeau","3",""
"62996","VILLA RIDGE","Cape Girardeau","3",""
"62998","WOLF LAKE","Cape Girardeau","3",""
"63632","CASCADE","Cape Girardeau","3",""
"63636","DES ARC","Cape Girardeau","3",""
"63655","MARQUAND","Cape Girardeau","3",""
"63662","PATTON","Cape Girardeau","3",""
"63701","CAPE GIRARDEAU","Cape Girardeau","3",""
"63702","CAPE GIRARDEAU","Cape Girardeau","3",""
"63703","CAPE GIRARDEAU","Cape Girardeau","3",""
"63730","ADVANCE","Cape Girardeau","3",""
"63732","ALTENBURG","Cape Girardeau","3",""
"63735","BELL CITY","Cape Girardeau","3",""
"63736","BENTON","Cape Girardeau","3",""
"63738","BROWNWOOD","Cape Girardeau","3",""
"63739","BURFORDVILLE","Cape Girardeau","3",""
"63740","CHAFFEE","Cape Girardeau","3",""
"63742","COMMERCE","Cape Girardeau","3",""
"63743","DAISY","Cape Girardeau","3",""
"63744","DELTA","Cape Girardeau","3",""
"63745","DUTCHTOWN","Cape Girardeau","3",""
"63747","FRIEDHEIM","Cape Girardeau","3",""
"63750","GIPSY","Cape Girardeau","3",""
"63751","GLENALLEN","Cape Girardeau","3",""
"63752","GORDONVILLE","Cape Girardeau","3",""
"63755","JACKSON","Cape Girardeau","3",""
"63758","KELSO","Cape Girardeau","3",""
"63760","LEOPOLD","Cape Girardeau","3",""
"63763","MC GEE","Cape Girardeau","3",""
"63764","MARBLE HILL","Cape Girardeau","3",""
"63766","MILLERSVILLE","Cape Girardeau","3",""
"63767","MORLEY","Cape Girardeau","3",""
"63769","OAK RIDGE","Cape Girardeau","3",""
"63770","OLD APPLETON","Cape Girardeau","3",""
"63771","ORAN","Cape Girardeau","3",""
"63774","PERKINS","Cape Girardeau","3",""
"63779","POCAHONTAS","Cape Girardeau","3",""
"63780","SCOTT CITY","Cape Girardeau","3",""
"63781","SEDGEWICKVILLE","Cape Girardeau","3",""
"63782","STURDIVANT","Cape Girardeau","3",""
"63783","UNIONTOWN","Cape Girardeau","3",""
"63784","VANDUSER","Cape Girardeau","3",""
"63785","WHITEWATER","Cape Girardeau","3",""
"63787","ZALMA","Cape Girardeau","3",""
"63801","SIKESTON","Cape Girardeau","3",""
"63820","ANNISTON","Cape Girardeau","3",""
"63822","BERNIE","Cape Girardeau","3",""
"63823","BERTRAND","Cape Girardeau","3",""
"63824","BLODGETT","Cape Girardeau","3",""
"63825","BLOOMFIELD","Cape Girardeau","3",""
"63828","CANALOU","Cape Girardeau","3",""
"63833","CATRON","Cape Girardeau","3",""
"63834","CHARLESTON","Cape Girardeau","3",""
"63837","CLARKTON","Cape Girardeau","3",""
"63841","DEXTER","Cape Girardeau","3",""
"63845","EAST PRAIRIE","Cape Girardeau","3",""
"63846","ESSEX","Cape Girardeau","3",""
"63847","GIBSON","Cape Girardeau","3",""
"63848","GIDEON","Cape Girardeau","3",""
"63850","GRAYRIDGE","Cape Girardeau","3",""
"63860","KEWANEE","Cape Girardeau","3",""
"63862","LILBOURN","Cape Girardeau","3",""
"63863","MALDEN","Cape Girardeau","3",""
"63866","MARSTON","Cape Girardeau","3",""
"63867","MATTHEWS","Cape Girardeau","3",""
"63868","MOREHOUSE","Cape Girardeau","3",""
"63869","NEW MADRID","Cape Girardeau","3",""
"63870","PARMA","Cape Girardeau","3",""
"63874","RISCO","Cape Girardeau","3",""
"63878","TALLAPOOSA","Cape Girardeau","3",""
"63881","WOLF ISLAND","Cape Girardeau","3",""
