"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"30103","ADAIRSVILLE","Chattanooga","3",""
"30105","ARMUCHEE","Chattanooga","3",""
"30139","FAIRMOUNT","Chattanooga","3",""
"30149","MOUNT BERRY","Chattanooga","3",""
"30161","ROME","Chattanooga","3",""
"30175","TALKING ROCK","Chattanooga","3",""
"30522","CHERRY LOG","Chattanooga","3",""
"30536","ELLIJAY","Chattanooga","3",""
"30540","ELLIJAY","Chattanooga","3",""
"30555","MC CAYSVILLE","Chattanooga","3",""
"30560","MORGANTON","Chattanooga","3",""
"30701","CALHOUN","Chattanooga","3","T300"
"30703","CALHOUN","Chattanooga","3","T400"
"30705","CHATSWORTH","Chattanooga","3",""
"30707","CHICKAMAUGA","Chattanooga","3",""
"30708","CISCO","Chattanooga","3",""
"30710","COHUTTA","Chattanooga","3",""
"30711","CRANDALL","Chattanooga","3",""
"30719","DALTON","Chattanooga","3",""
"3072","","Chattanooga","3",""
"30720","DALTON","Chattanooga","3",""
"30721","DALTON","Chattanooga","3",""
"30722","DALTON","Chattanooga","3",""
"30724","ETON","Chattanooga","3",""
"30725","FLINTSTONE","Chattanooga","3",""
"30726","GRAYSVILLE","Chattanooga","3",""
"30728","LA FAYETTE","Chattanooga","3",""
"30731","MENLO","Chattanooga","3",""
"30733","PLAINVILLE","Chattanooga","3",""
"30734","RANGER","Chattanooga","3",""
"30735","RESACA","Chattanooga","3","T400"
"30736","RINGGOLD","Chattanooga","3",""
"30738","RISING FAWN","Chattanooga","3",""
"30739","ROCK SPRING","Chattanooga","3",""
"30740","ROCKY FACE","Chattanooga","3",""
"30741","ROSSVILLE","Chattanooga","3",""
"30742","FORT OGLETHORPE","Chattanooga","3",""
"30746","SUGAR VALLEY","Chattanooga","3",""
"30747","SUMMERVILLE","Chattanooga","3",""
"30750","LOOKOUT MOUNTAIN","Chattanooga","3",""
"30751","TENNGA","Chattanooga","3",""
"30752","TRENTON","Chattanooga","3",""
"30753","TRION","Chattanooga","3",""
"30755","TUNNEL HILL","Chattanooga","3",""
"30756","VARNELL","Chattanooga","3",""
"30757","WILDWOOD","Chattanooga","3",""
"35740","BRIDGEPORT","Chattanooga","3",""
"35765","PISGAH","Chattanooga","3",""
"35958","BRYANT","Chattanooga","3",""
"35966","FLAT ROCK","Chattanooga","3",""
"35967","FORT PAYNE","Chattanooga","3",""
"35978","HENAGAR","Chattanooga","3",""
"35979","HIGDON","Chattanooga","3",""
"35981","IDER","Chattanooga","3",""
"35984","MENTONE","Chattanooga","3",""
"35988","SYLVANIA","Chattanooga","3",""
"35989","VALLEY HEAD","Chattanooga","3",""
"37301","ALTAMONT","Chattanooga","3",""
"37302","APISON","Chattanooga","3",""
"37303","ATHENS","Chattanooga","3",""
"37304","BAKEWELL","Chattanooga","3",""
"37305","BEERSHEBA SPRINGS","Chattanooga","3",""
"37307","BENTON","Chattanooga","3",""
"37308","BIRCHWOOD","Chattanooga","3",""
"37309","CALHOUN","Chattanooga","3",""
"37310","CHARLESTON","Chattanooga","3",""
"37311","CLEVELAND","Chattanooga","3",""
"37312","CLEVELAND","Chattanooga","3",""
"37313","COALMONT","Chattanooga","3",""
"37315","COLLEGEDALE","Chattanooga","3",""
"37316","CONASAUGA","Chattanooga","3",""
"37317","COPPERHILL","Chattanooga","3",""
"37320","CLEVELAND","Chattanooga","3",""
"37321","DAYTON","Chattanooga","3",""
"37322","DECATUR","Chattanooga","3",""
"37323","CLEVELAND","Chattanooga","3",""
"37325","DELANO","Chattanooga","3",""
"37327","DUNLAP","Chattanooga","3",""
"37329","ENGLEWOOD","Chattanooga","3",""
"37331","ETOWAH","Chattanooga","3",""
"37332","EVENSVILLE","Chattanooga","3",""
"37336","GEORGETOWN","Chattanooga","3",""
"37338","GRAYSVILLE","Chattanooga","3",""
"37339","GRUETLI LAAGER","Chattanooga","3",""
"37340","GUILD","Chattanooga","3",""
"37341","HARRISON","Chattanooga","3",""
"37343","HIXSON","Chattanooga","3",""
"37347","JASPER","Chattanooga","3",""
"37350","LOOKOUT MOUNTAIN","Chattanooga","3",""
"37351","LUPTON CITY","Chattanooga","3",""
"37353","MC DONALD","Chattanooga","3",""
"37356","MONTEAGLE","Chattanooga","3",""
"37361","OCOEE","Chattanooga","3",""
"37362","OLD FORT","Chattanooga","3",""
"37363","OOLTEWAH","Chattanooga","3",""
"37364","CLEVELAND","Chattanooga","3",""
"37365","PALMER","Chattanooga","3",""
"37366","PELHAM","Chattanooga","3","T400"
"37367","PIKEVILLE","Chattanooga","3",""
"37370","RICEVILLE","Chattanooga","3",""
"37371","ATHENS","Chattanooga","3",""
"37373","SALE CREEK","Chattanooga","3",""
"37374","SEQUATCHIE","Chattanooga","3",""
"37375","SEWANEE","Chattanooga","3",""
"37376","SHERWOOD","Chattanooga","3","T400"
"37377","SIGNAL MOUNTAIN","Chattanooga","3",""
"37379","SODDY DAISY","Chattanooga","3",""
"37380","SOUTH PITTSBURG","Chattanooga","3",""
"37383","SEWANEE","Chattanooga","3",""
"37384","SODDY DAISY","Chattanooga","3",""
"37385","TELLICO PLAINS","Chattanooga","3",""
"37387","TRACY CITY","Chattanooga","3",""
"37391","TURTLETOWN","Chattanooga","3",""
"37396","WHITESIDE","Chattanooga","3",""
"37397","WHITWELL","Chattanooga","3",""
"37401","CHATTANOOGA","Chattanooga","3",""
"37402","CHATTANOOGA","Chattanooga","3",""
"37403","CHATTANOOGA","Chattanooga","3",""
"37404","CHATTANOOGA","Chattanooga","3",""
"37405","CHATTANOOGA","Chattanooga","3",""
"37406","CHATTANOOGA","Chattanooga","3",""
"37407","CHATTANOOGA","Chattanooga","3",""
"37408","CHATTANOOGA","Chattanooga","3",""
"37409","CHATTANOOGA","Chattanooga","3",""
"37410","CHATTANOOGA","Chattanooga","3",""
"37411","CHATTANOOGA","Chattanooga","3",""
"37412","CHATTANOOGA","Chattanooga","3",""
"37414","CHATTANOOGA","Chattanooga","3",""
"37415","CHATTANOOGA","Chattanooga","3",""
"37416","CHATTANOOGA","Chattanooga","3",""
"37419","CHATTANOOGA","Chattanooga","3",""
"37421","CHATTANOOGA","Chattanooga","3",""
"37422","CHATTANOOGA","Chattanooga","3",""
"37424","CHATTANOOGA","Chattanooga","3",""
"37450","CHATTANOOGA","Chattanooga","3",""
