"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"30108","BOWDON","Columbus","3","T400"
"30109","BOWDON JUNCTION","Columbus","3","T300"
"30112","CARROLLTON","Columbus","3","T300"
"30116","CARROLLTON","Columbus","3","T300"
"30117","CARROLLTON","Columbus","3","T300"
"30118","CARROLLTON","Columbus","3","T300"
"30119","CARROLLTON","Columbus","3","T300"
"30150","MOUNT ZION","Columbus","3","T400"
"30170","ROOPVILLE","Columbus","3","T400"
"30185","WHITESBURG","Columbus","3","T300"
"30204","BARNESVILLE","Columbus","3","T300"
"30205","BROOKS","Columbus","3","T200"
"30206","CONCORD","Columbus","3","T300"
"30212","EXPERIMENT","Columbus","3","T200"
"30213","FAIRBURN","Columbus","3",""
"30214","FAYETTEVILLE","Columbus","3",""
"30215","FAYETTEVILLE","Columbus","3",""
"30217","FRANKLIN","Columbus","3",""
"30218","GAY","Columbus","3","T300"
"30220","GRANTVILLE","Columbus","3","T300"
"30222","GREENVILLE","Columbus","3",""
"30223","GRIFFIN","Columbus","3","T200"
"30224","GRIFFIN","Columbus","3","T300"
"30229","HARALSON","Columbus","3","T300"
"30230","HOGANSVILLE","Columbus","3",""
"30240","LAGRANGE","Columbus","3",""
"30241","LAGRANGE","Columbus","3",""
"30251","LUTHERSVILLE","Columbus","3","T300"
"30256","MEANSVILLE","Columbus","3","T300"
"30257","MILNER","Columbus","3","T300"
"30258","MOLENA","Columbus","3",""
"30259","MORELAND","Columbus","3","T300"
"30261","LAGRANGE","Columbus","3",""
"30263","NEWNAN","Columbus","3","T300"
"30264","NEWNAN","Columbus","3","T200"
"30265","NEWNAN","Columbus","3","T200"
"30268","PALMETTO","Columbus","3",""
"30269","PEACHTREE CITY","Columbus","3","T200"
"30270","PEACHTREE CITY","Columbus","3","T200"
"30271","NEWNAN","Columbus","3","T300"
"30275","SARGENT","Columbus","3","T300"
"30276","SENOIA","Columbus","3","T300"
"30277","SHARPSBURG","Columbus","3","T200"
"30285","THE ROCK","Columbus","3",""
"30286","THOMASTON","Columbus","3","T400"
"30289","TURIN","Columbus","3","T200"
"30290","TYRONE","Columbus","3",""
"30292","WILLIAMSON","Columbus","3","T300"
"30293","WOODBURY","Columbus","3",""
"30295","ZEBULON","Columbus","3","T300"
"31003","ALLENTOWN","Columbus","3",""
"31004","BOLINGBROKE","Columbus","3","T300"
"31005","BONAIRE","Columbus","3","T400"
"31006","BUTLER","Columbus","3",""
"31008","BYRON","Columbus","3","T400"
"31014","COCHRAN","Columbus","3",""
"31016","CULLODEN","Columbus","3",""
"31017","DANVILLE","Columbus","3","T400"
"31020","DRY BRANCH","Columbus","3","T400"
"31025","ELKO","Columbus","3","T400"
"31028","CENTERVILLE","Columbus","3","T400"
"31029","FORSYTH","Columbus","3","T300"
"31030","FORT VALLEY","Columbus","3",""
"31031","GORDON","Columbus","3","T400"
"31032","GRAY","Columbus","3","T300"
"31033","HADDOCK","Columbus","3","T300"
"31036","HAWKINSVILLE","Columbus","3",""
"31039","HOWARD","Columbus","3",""
"31041","IDEAL","Columbus","3",""
"31042","IRWINTON","Columbus","3",""
"31044","JEFFERSONVILLE","Columbus","3","T400"
"31046","JULIETTE","Columbus","3","T400"
"31047","KATHLEEN","Columbus","3","T400"
"31050","KNOXVILLE","Columbus","3","T400"
"31052","LIZELLA","Columbus","3","T400"
"31054","MC INTYRE","Columbus","3","T400"
"31057","MARSHALLVILLE","Columbus","3",""
"31058","MAUK","Columbus","3",""
"31061","MILLEDGEVILLE","Columbus","3","T300"
"31063","MONTEZUMA","Columbus","3",""
"31066","MUSELLA","Columbus","3","T400"
"31068","OGLETHORPE","Columbus","3",""
"31069","PERRY","Columbus","3",""
"31076","REYNOLDS","Columbus","3",""
"31078","ROBERTA","Columbus","3",""
"31081","RUPERT","Columbus","3",""
"31086","SMARR","Columbus","3","T300"
"31088","WARNER ROBINS","Columbus","3","T400"
"31093","WARNER ROBINS","Columbus","3","T400"
"31095","WARNER ROBINS","Columbus","3","T400"
"31097","YATESVILLE","Columbus","3",""
"31098","WARNER ROBINS","Columbus","3","T400"
