"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"75001","ADDISON","Dallas","3",""
"75002","ALLEN","Dallas","3",""
"75006","CARROLLTON","Dallas","3",""
"75007","CARROLLTON","Dallas","3",""
"75010","CARROLLTON","Dallas","3",""
"75011","CARROLLTON","Dallas","3",""
"75013","ALLEN","Dallas","3",""
"75014","IRVING","Dallas","3",""
"75015","IRVING","Dallas","3",""
"75016","IRVING","Dallas","3",""
"75017","IRVING","Dallas","3",""
"75019","COPPELL","Dallas","3",""
"75022","FLOWER MOUND","Dallas","3",""
"75023","PLANO","Dallas","3",""
"75024","PLANO","Dallas","3",""
"75025","PLANO","Dallas","3",""
"75026","PLANO","Dallas","3",""
"75027","FLOWER MOUND","Dallas","3",""
"75028","FLOWER MOUND","Dallas","3",""
"75029","LEWISVILLE","Dallas","3",""
"75030","ROWLETT","Dallas","3",""
"75032","ROCKWALL","Dallas","3",""
"75033","FRISCO","Dallas","3",""
"75034","FRISCO","Dallas","3",""
"75035","FRISCO","Dallas","3",""
"75036","FRISCO","Dallas","3",""
"75038","IRVING","Dallas","3",""
"75039","IRVING","Dallas","3",""
"75040","GARLAND","Dallas","3",""
"75041","GARLAND","Dallas","3",""
"75042","GARLAND","Dallas","3",""
"75043","GARLAND","Dallas","3",""
"75044","GARLAND","Dallas","3",""
"75045","GARLAND","Dallas","3",""
"75046","GARLAND","Dallas","3",""
"75047","GARLAND","Dallas","3",""
"75048","SACHSE","Dallas","3",""
"75049","GARLAND","Dallas","3",""
"75050","GRAND PRAIRIE","Dallas","3",""
"75051","GRAND PRAIRIE","Dallas","3",""
"75052","GRAND PRAIRIE","Dallas","3",""
"75053","GRAND PRAIRIE","Dallas","3",""
"75054","GRAND PRAIRIE","Dallas","3",""
"75056","THE COLONY","Dallas","3",""
"75057","LEWISVILLE","Dallas","3",""
"75059","IRVING","Dallas","3",""
"75060","IRVING","Dallas","3",""
"75061","IRVING","Dallas","3",""
"75062","IRVING","Dallas","3",""
"75063","IRVING","Dallas","3",""
"75064","IRVING","Dallas","3",""
"75065","LAKE DALLAS","Dallas","3",""
"75067","LEWISVILLE","Dallas","3",""
"75068","LITTLE ELM","Dallas","3",""
"75069","MCKINNEY","Dallas","3",""
"75070","MCKINNEY","Dallas","3",""
"75071","MCKINNEY","Dallas","3",""
"75072","MCKINNEY","Dallas","3",""
"75074","PLANO","Dallas","3",""
"75075","PLANO","Dallas","3",""
"75077","LEWISVILLE","Dallas","3",""
"75078","PROSPER","Dallas","3",""
"75080","RICHARDSON","Dallas","3",""
"75081","RICHARDSON","Dallas","3",""
"75082","RICHARDSON","Dallas","3",""
"75083","RICHARDSON","Dallas","3",""
"75085","RICHARDSON","Dallas","3",""
"75086","PLANO","Dallas","3",""
"75087","ROCKWALL","Dallas","3",""
"75088","ROWLETT","Dallas","3",""
"75089","ROWLETT","Dallas","3",""
"75093","PLANO","Dallas","3",""
"75094","PLANO","Dallas","3",""
"75097","WESTON","Dallas","3",""
"75098","WYLIE","Dallas","3",""
"75099","COPPELL","Dallas","3",""
"75104","CEDAR HILL","Dallas","3",""
"75106","CEDAR HILL","Dallas","3",""
"75114","CRANDALL","Dallas","3",""
"75115","DESOTO","Dallas","3",""
"75116","DUNCANVILLE","Dallas","3",""
"75119","ENNIS","Dallas","3",""
"75120","ENNIS","Dallas","3",""
"75123","DESOTO","Dallas","3",""
"75125","FERRIS","Dallas","3",""
"75126","FORNEY","Dallas","3",""
"75132","FATE","Dallas","3",""
"75134","LANCASTER","Dallas","3",""
