"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"32401","PANAMA CITY","Destin","3",""
"32402","PANAMA CITY","Destin","3",""
"32404","PANAMA CITY","Destin","3",""
"32405","PANAMA CITY","Destin","3",""
"32406","PANAMA CITY","Destin","3",""
"32407","PANAMA CITY BEACH","Destin","3",""
"32408","PANAMA CITY","Destin","3",""
"32409","PANAMA CITY","Destin","3",""
"32411","PANAMA CITY","Destin","3",""
"32412","PANAMA CITY","Destin","3",""
"32413","PANAMA CITY BEACH","Destin","3",""
"32417","PANAMA CITY","Destin","3",""
"32420","ALFORD","Destin","3",""
"32421","ALTHA","Destin","3",""
"32422","ARGYLE","Destin","3",""
"32425","BONIFAY","Destin","3",""
"32426","CAMPBELLTON","Destin","3",""
"32427","CARYVILLE","Destin","3",""
"32428","CHIPLEY","Destin","3",""
"32430","CLARKSVILLE","Destin","3",""
"32431","COTTONDALE","Destin","3",""
"32433","DEFUNIAK SPRINGS","Destin","3",""
"32434","MOSSY HEAD","Destin","3",""
"32435","DEFUNIAK SPRINGS","Destin","3",""
"32437","EBRO","Destin","3",""
"32438","FOUNTAIN","Destin","3",""
"32439","FREEPORT","Destin","3",""
"32440","GRACEVILLE","Destin","3",""
"32443","GREENWOOD","Destin","3",""
"32444","LYNN HAVEN","Destin","3",""
"32445","MALONE","Destin","3",""
"32446","MARIANNA","Destin","3",""
"32447","MARIANNA","Destin","3",""
"32448","MARIANNA","Destin","3",""
"32452","NOMA","Destin","3",""
"32455","PONCE DE LEON","Destin","3",""
"32459","SANTA ROSA BEACH","Destin","3",""
"32461","INLET BEACH","Destin","3",""
"32462","VERNON","Destin","3",""
"32463","WAUSAU","Destin","3",""
"32464","WESTVILLE","Destin","3",""
"32466","YOUNGSTOWN","Destin","3",""
"32530","BAGDAD","Destin","3",""
"32531","BAKER","Destin","3",""
"32536","CRESTVIEW","Destin","3",""
"32537","MILLIGAN","Destin","3",""
"32538","PAXTON","Destin","3",""
"32539","CRESTVIEW","Destin","3",""
"32540","DESTIN","Destin","3",""
"32541","DESTIN","Destin","3",""
"32542","EGLIN AFB","Destin","3",""
"32544","HURLBURT FIELD","Destin","3",""
"32547","FORT WALTON BEACH","Destin","3",""
"32548","FORT WALTON BEACH","Destin","3",""
"32549","FORT WALTON BEACH","Destin","3",""
"32550","MIRAMAR BEACH","Destin","3",""
"32563","GULF BREEZE","Destin","3",""
"32564","HOLT","Destin","3",""
"32565","JAY","Destin","3",""
"32566","NAVARRE","Destin","3",""
"32567","LAUREL HILL","Destin","3",""
"32569","MARY ESTHER","Destin","3",""
"32570","MILTON","Destin","3",""
"32571","MILTON","Destin","3",""
"32572","MILTON","Destin","3",""
"32578","NICEVILLE","Destin","3",""
"32579","SHALIMAR","Destin","3",""
"32580","VALPARAISO","Destin","3",""
"32583","MILTON","Destin","3",""
"32588","NICEVILLE","Destin","3",""
"36301","DOTHAN","Destin","3",""
"36302","DOTHAN","Destin","3",""
"36303","DOTHAN","Destin","3",""
"36304","DOTHAN","Destin","3",""
"36305","DOTHAN","Destin","3",""
"36312","ASHFORD","Destin","3",""
"36313","BELLWOOD","Destin","3",""
"36314","BLACK","Destin","3",""
"36316","CHANCELLOR","Destin","3",""
"36318","COFFEE SPRINGS","Destin","3",""
"36320","COTTONWOOD","Destin","3",""
"36321","COWARTS","Destin","3",""
"36322","DALEVILLE","Destin","3",""
"36323","ELBA","Destin","3",""
"36330","ENTERPRISE","Destin","3",""
"36331","ENTERPRISE","Destin","3",""
"36340","GENEVA","Destin","3",""
"36344","HARTFORD","Destin","3",""
"36349","MALVERN","Destin","3",""
"36351","NEW BROCKTON","Destin","3",""
"36352","NEWTON","Destin","3",""
"36360","OZARK","Destin","3",""
"36361","OZARK","Destin","3",""
"36362","FORT RUCKER","Destin","3",""
"36371","PINCKARD","Destin","3",""
"36375","SLOCOMB","Destin","3",""
"36420","ANDALUSIA","Destin","3",""
"36421","ANDALUSIA","Destin","3",""
"36426","BREWTON","Destin","3",""
"36427","BREWTON","Destin","3",""
"36429","BROOKLYN","Destin","3",""
"36442","FLORALA","Destin","3",""
"36453","KINSTON","Destin","3",""
"36455","LOCKHART","Destin","3",""
"36467","OPP","Destin","3",""
"36476","RIVER FALLS","Destin","3",""
"36477","SAMSON","Destin","3",""
"36483","WING","Destin","3",""
