"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"31521","BRUNSWICK","Huntsville","3",""
"35016","ARAB","Huntsville","3",""
"35019","BAILEYTON","Huntsville","3",""
"35031","BLOUNTSVILLE","Huntsville","3","T400"
"35055","CULLMAN","Huntsville","3",""
"35056","CULLMAN","Huntsville","3","T400"
"35058","CULLMAN","Huntsville","3",""
"35083","HOLLY POND","Huntsville","3",""
"35087","JOPPA","Huntsville","3",""
"35175","UNION GROVE","Huntsville","3",""
"35179","VINEMONT","Huntsville","3",""
"35553","DOUBLE SPRINGS","Huntsville","3",""
"35565","HALEYVILLE","Huntsville","3",""
"35572","HOUSTON","Huntsville","3",""
"35581","PHIL CAMPBELL","Huntsville","3",""
"35585","SPRUCE PINE","Huntsville","3",""
"35601","DECATUR","Huntsville","3",""
"35602","DECATUR","Huntsville","3",""
"35603","DECATUR","Huntsville","3",""
"35609","DECATUR","Huntsville","3",""
"35610","ANDERSON","Huntsville","3",""
"35611","ATHENS","Huntsville","3",""
"35612","ATHENS","Huntsville","3",""
"35613","ATHENS","Huntsville","3",""
"35614","ATHENS","Huntsville","3",""
"35615","BELLE MINA","Huntsville","3",""
"35618","COURTLAND","Huntsville","3",""
"35619","DANVILLE","Huntsville","3",""
"35620","ELKMONT","Huntsville","3",""
"35621","EVA","Huntsville","3",""
"35622","FALKVILLE","Huntsville","3",""
"35630","FLORENCE","Huntsville","3","T300"
"35631","FLORENCE","Huntsville","3",""
"35632","FLORENCE","Huntsville","3",""
"35633","FLORENCE","Huntsville","3","T300"
"35634","FLORENCE","Huntsville","3","T300"
"35640","HARTSELLE","Huntsville","3",""
"35643","HILLSBORO","Huntsville","3",""
"35645","KILLEN","Huntsville","3","T300"
"35646","LEIGHTON","Huntsville","3","T300"
"35647","LESTER","Huntsville","3",""
"35648","LEXINGTON","Huntsville","3",""
"35649","MOORESVILLE","Huntsville","3",""
"35650","MOULTON","Huntsville","3",""
"35651","MOUNT HOPE","Huntsville","3",""
"35652","ROGERSVILLE","Huntsville","3",""
"35654","RUSSELLVILLE","Huntsville","3",""
"35661","MUSCLE SHOALS","Huntsville","3","T300"
"35662","MUSCLE SHOALS","Huntsville","3",""
"35670","SOMERVILLE","Huntsville","3",""
"35671","TANNER","Huntsville","3",""
"35672","TOWN CREEK","Huntsville","3","T200"
"35673","TRINITY","Huntsville","3",""
"35674","TUSCUMBIA","Huntsville","3","T300"
"35699","DECATUR","Huntsville","3",""
"35739","ARDMORE","Huntsville","3",""
"35741","BROWNSBORO","Huntsville","3",""
"35742","CAPSHAW","Huntsville","3",""
"35745","ESTILLFORK","Huntsville","3",""
"35746","FACKLER","Huntsville","3",""
"35747","GRANT","Huntsville","3",""
"35748","GURLEY","Huntsville","3",""
"35749","HARVEST","Huntsville","3",""
"35750","HAZEL GREEN","Huntsville","3",""
"35751","HOLLYTREE","Huntsville","3",""
"35752","HOLLYWOOD","Huntsville","3",""
"35754","LACEYS SPRING","Huntsville","3",""
"35755","LANGSTON","Huntsville","3",""
"35756","MADISON","Huntsville","3",""
"35757","MADISON","Huntsville","3",""
"35758","MADISON","Huntsville","3",""
"35759","MERIDIANVILLE","Huntsville","3",""
"35760","NEW HOPE","Huntsville","3",""
"35761","NEW MARKET","Huntsville","3",""
"35762","NORMAL","Huntsville","3",""
"35763","OWENS CROSS ROADS","Huntsville","3",""
"35764","PAINT ROCK","Huntsville","3",""
"35766","PRINCETON","Huntsville","3",""
"35767","RYLAND","Huntsville","3",""
"35768","SCOTTSBORO","Huntsville","3",""
"35769","SCOTTSBORO","Huntsville","3",""
"35771","SECTION","Huntsville","3",""
"35772","STEVENSON","Huntsville","3",""
"35773","TONEY","Huntsville","3",""
"35774","TRENTON","Huntsville","3",""
"35775","VALHERMOSO SPRINGS","Huntsville","3",""
"35776","WOODVILLE","Huntsville","3",""
"35801","HUNTSVILLE","Huntsville","3",""
"35802","HUNTSVILLE","Huntsville","3",""
"35803","HUNTSVILLE","Huntsville","3",""
"35804","HUNTSVILLE","Huntsville","3",""
"35805","HUNTSVILLE","Huntsville","3",""
"35806","HUNTSVILLE","Huntsville","3",""
"35807","HUNTSVILLE","Huntsville","3",""
"35808","HUNTSVILLE","Huntsville","3",""
"35809","HUNTSVILLE","Huntsville","3",""
"35810","HUNTSVILLE","Huntsville","3",""
"35811","HUNTSVILLE","Huntsville","3",""
"35812","HUNTSVILLE","Huntsville","3",""
"35813","HUNTSVILLE","Huntsville","3",""
"35814","HUNTSVILLE","Huntsville","3",""
"35815","HUNTSVILLE","Huntsville","3",""
"35816","HUNTSVILLE","Huntsville","3",""
"35824","HUNTSVILLE","Huntsville","3",""
"35893","HUNTSVILLE","Huntsville","3",""
"35894","HUNTSVILLE","Huntsville","3",""
"35895","HUNTSVILLE","Huntsville","3",""
"35896","HUNTSVILLE","Huntsville","3",""
"35897","HUNTSVILLE","Huntsville","3",""
"35898","HUNTSVILLE","Huntsville","3",""
"35899","HUNTSVILLE","Huntsville","3",""
"35950","ALBERTVILLE","Huntsville","3",""
"35951","ALBERTVILLE","Huntsville","3",""
"35954","ATTALLA","Huntsville","3",""
"35956","BOAZ","Huntsville","3",""
"35957","BOAZ","Huntsville","3",""
"35961","COLLINSVILLE","Huntsville","3",""
"35962","CROSSVILLE","Huntsville","3",""
"35963","DAWSON","Huntsville","3",""
"35964","DOUGLAS","Huntsville","3",""
"35968","FORT PAYNE","Huntsville","3",""
"35971","FYFFE","Huntsville","3",""
"35974","GERALDINE","Huntsville","3",""
"35975","GROVEOAK","Huntsville","3",""
"35976","GUNTERSVILLE","Huntsville","3",""
"35986","RAINSVILLE","Huntsville","3",""
"37019","BELFAST","Huntsville","3",""
"37047","CORNERSVILLE","Huntsville","3",""
"37144","PETERSBURG","Huntsville","3",""
"37306","BELVIDERE","Huntsville","3","T400"
"37318","COWAN","Huntsville","3",""
"37324","DECHERD","Huntsville","3",""
"37328","ELORA","Huntsville","3","T400"
"37330","ESTILL SPRINGS","Huntsville","3",""
"37334","FAYETTEVILLE","Huntsville","3",""
"37335","FLINTVILLE","Huntsville","3",""
"37345","HUNTLAND","Huntsville","3","T400"
"37348","KELSO","Huntsville","3","T400"
"37352","LYNCHBURG","Huntsville","3",""
"37359","MULBERRY","Huntsville","3","T400"
"37388","TULLAHOMA","Huntsville","3",""
"37389","ARNOLD AFB","Huntsville","3",""
"37398","WINCHESTER","Huntsville","3",""
"38449","ARDMORE","Huntsville","3",""
"38455","ELKTON","Huntsville","3","T400"
"38457","FIVE POINTS","Huntsville","3",""
"38459","FRANKEWING","Huntsville","3","T400"
"38460","GOODSPRING","Huntsville","3",""
"38463","IRON CITY","Huntsville","3",""
"38464","LAWRENCEBURG","Huntsville","3",""
"38468","LEOMA","Huntsville","3",""
"38469","LORETTO","Huntsville","3",""
"38472","LYNNVILLE","Huntsville","3",""
"38473","MINOR HILL","Huntsville","3",""
"38477","PROSPECT","Huntsville","3","T400"
"38478","PULASKI","Huntsville","3",""
"38481","SAINT JOSEPH","Huntsville","3",""
"38486","WESTPOINT","Huntsville","3",""
"38488","TAFT","Huntsville","3",""
