"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"37096","LINDEN","Jackson,TN","3",""
"37097","LOBELVILLE","Jackson,TN","3",""
"37185","WAVERLY","Jackson,TN","3",""
"38001","ALAMO","Jackson,TN","3",""
"38006","BELLS","Jackson,TN","3",""
"38007","BOGOTA","Jackson,TN","3",""
"38008","BOLIVAR","Jackson,TN","3",""
"38012","BROWNSVILLE","Jackson,TN","3",""
"38021","CROCKETT MILLS","Jackson,TN","3",""
"38024","DYERSBURG","Jackson,TN","3",""
"38025","DYERSBURG","Jackson,TN","3",""
"38030","FINLEY","Jackson,TN","3",""
"38034","FRIENDSHIP","Jackson,TN","3",""
"38037","GATES","Jackson,TN","3",""
"38040","HALLS","Jackson,TN","3",""
"38042","HICKORY VALLEY","Jackson,TN","3",""
"38044","HORNSBY","Jackson,TN","3",""
"38047","LENOX","Jackson,TN","3",""
"38050","MAURY CITY","Jackson,TN","3",""
"38052","MIDDLETON","Jackson,TN","3",""
"38059","NEWBERN","Jackson,TN","3",""
"38061","POCAHONTAS","Jackson,TN","3",""
"38067","SAULSBURY","Jackson,TN","3",""
"38070","TIGRETT","Jackson,TN","3",""
"38075","WHITEVILLE","Jackson,TN","3",""
"38077","WYNNBURG","Jackson,TN","3",""
"38079","TIPTONVILLE","Jackson,TN","3",""
"38080","RIDGELY","Jackson,TN","3",""
"38201","MC KENZIE","Jackson,TN","3",""
"38220","ATWOOD","Jackson,TN","3",""
"38223","COMO","Jackson,TN","3",""
"38224","COTTAGE GROVE","Jackson,TN","3",""
"38225","DRESDEN","Jackson,TN","3",""
"38226","DUKEDOM","Jackson,TN","3",""
"38229","GLEASON","Jackson,TN","3",""
"38230","GREENFIELD","Jackson,TN","3",""
"38231","HENRY","Jackson,TN","3",""
"38232","HORNBEAK","Jackson,TN","3",""
"38233","KENTON","Jackson,TN","3",""
"38235","MC LEMORESVILLE","Jackson,TN","3",""
"38236","MANSFIELD","Jackson,TN","3",""
"38240","OBION","Jackson,TN","3",""
"38241","PALMERSVILLE","Jackson,TN","3",""
"38242","PARIS","Jackson,TN","3",""
"38253","RIVES","Jackson,TN","3",""
"38254","SAMBURG","Jackson,TN","3",""
"38255","SHARON","Jackson,TN","3",""
"38258","TREZEVANT","Jackson,TN","3",""
"38259","TRIMBLE","Jackson,TN","3",""
"38260","TROY","Jackson,TN","3",""
"38301","JACKSON","Jackson,TN","3",""
"38302","JACKSON","Jackson,TN","3",""
"38303","JACKSON","Jackson,TN","3",""
"38305","JACKSON","Jackson,TN","3",""
"38308","JACKSON","Jackson,TN","3",""
"38310","ADAMSVILLE","Jackson,TN","3",""
"38311","BATH SPRINGS","Jackson,TN","3",""
"38313","BEECH BLUFF","Jackson,TN","3",""
"38314","JACKSON","Jackson,TN","3",""
"38315","BETHEL SPRINGS","Jackson,TN","3",""
"38316","BRADFORD","Jackson,TN","3",""
"38317","BRUCETON","Jackson,TN","3",""
"38318","BUENA VISTA","Jackson,TN","3",""
"38320","CAMDEN","Jackson,TN","3",""
"38321","CEDAR GROVE","Jackson,TN","3",""
"38324","CLARKSBURG","Jackson,TN","3",""
"38326","COUNCE","Jackson,TN","3",""
"38327","CRUMP","Jackson,TN","3",""
"38328","DARDEN","Jackson,TN","3",""
"38329","DECATURVILLE","Jackson,TN","3",""
"38330","DYER","Jackson,TN","3",""
"38331","EATON","Jackson,TN","3",""
"38332","ENVILLE","Jackson,TN","3",""
"38334","FINGER","Jackson,TN","3",""
"38336","FRUITVALE","Jackson,TN","3",""
"38337","GADSDEN","Jackson,TN","3",""
"38338","GIBSON","Jackson,TN","3",""
"38339","GUYS","Jackson,TN","3",""
"38340","HENDERSON","Jackson,TN","3",""
"38341","HOLLADAY","Jackson,TN","3",""
"38342","HOLLOW ROCK","Jackson,TN","3",""
"38343","HUMBOLDT","Jackson,TN","3",""
"38344","HUNTINGDON","Jackson,TN","3",""
"38345","HURON","Jackson,TN","3",""
"38346","IDLEWILD","Jackson,TN","3",""
"38347","JACKS CREEK","Jackson,TN","3",""
"38348","LAVINIA","Jackson,TN","3",""
"38351","LEXINGTON","Jackson,TN","3",""
"38352","LURAY","Jackson,TN","3",""
"38355","MEDINA","Jackson,TN","3",""
"38356","MEDON","Jackson,TN","3",""
"38357","MICHIE","Jackson,TN","3",""
"38358","MILAN","Jackson,TN","3",""
"38359","MILLEDGEVILLE","Jackson,TN","3",""
"38361","MORRIS CHAPEL","Jackson,TN","3",""
"38362","OAKFIELD","Jackson,TN","3",""
"38363","PARSONS","Jackson,TN","3",""
"38365","PICKWICK DAM","Jackson,TN","3",""
"38366","PINSON","Jackson,TN","3",""
"38367","RAMER","Jackson,TN","3",""
"38368","REAGAN","Jackson,TN","3",""
"38369","RUTHERFORD","Jackson,TN","3",""
"38370","SALTILLO","Jackson,TN","3",""
"38371","SARDIS","Jackson,TN","3",""
"38372","SAVANNAH","Jackson,TN","3",""
"38374","SCOTTS HILL","Jackson,TN","3",""
"38375","SELMER","Jackson,TN","3",""
"38376","SHILOH","Jackson,TN","3",""
"38377","SILERTON","Jackson,TN","3",""
"38378","SPRING CREEK","Jackson,TN","3",""
"38379","STANTONVILLE","Jackson,TN","3",""
"38380","SUGAR TREE","Jackson,TN","3",""
"38381","TOONE","Jackson,TN","3",""
"38382","TRENTON","Jackson,TN","3",""
"38387","WESTPORT","Jackson,TN","3",""
"38388","WILDERSVILLE","Jackson,TN","3",""
"38389","YORKVILLE","Jackson,TN","3",""
"38390","YUMA","Jackson,TN","3",""
"38391","DENMARK","Jackson,TN","3",""
"38392","MERCER","Jackson,TN","3",""
"38425","CLIFTON","Jackson,TN","3",""
"38450","COLLINWOOD","Jackson,TN","3",""
"38475","OLIVEHILL","Jackson,TN","3",""
"38485","WAYNESBORO","Jackson,TN","3",""
"38683","WALNUT","Jackson,TN","3",""
"38834","CORINTH","Jackson,TN","3",""
"38846","GLEN","Jackson,TN","3",""
"38852","IUKA","Jackson,TN","3",""
"63830","CARUTHERSVILLE","Jackson,TN","3",""
"63851","HAYTI","Jackson,TN","3",""
