"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"36904","BUTLER","Jackson,MS","3",""
"38622","CROWDER","Jackson,MS","3",""
"38623","DARLING","Jackson,MS","3",""
"38639","JONESTOWN","Jackson,MS","3",""
"38643","LAMBERT","Jackson,MS","3",""
"38644","LULA","Jackson,MS","3",""
"38658","POPE","Jackson,MS","3",""
"38677","UNIVERSITY","Jackson,MS","3",""
"38701","GREENVILLE","Jackson,MS","3",""
"38702","GREENVILLE","Jackson,MS","3",""
"38703","GREENVILLE","Jackson,MS","3",""
"38704","GREENVILLE","Jackson,MS","3",""
"38720","ALLIGATOR","Jackson,MS","3",""
"38721","ANGUILLA","Jackson,MS","3",""
"38722","ARCOLA","Jackson,MS","3",""
"38723","AVON","Jackson,MS","3",""
"38725","BENOIT","Jackson,MS","3",""
"38726","BEULAH","Jackson,MS","3",""
"38730","BOYLE","Jackson,MS","3",""
"38731","CHATHAM","Jackson,MS","3",""
"38732","CLEVELAND","Jackson,MS","3",""
"38733","CLEVELAND","Jackson,MS","3",""
"38736","DODDSVILLE","Jackson,MS","3",""
"38737","DREW","Jackson,MS","3",""
"38738","PARCHMAN","Jackson,MS","3",""
"38739","DUBLIN","Jackson,MS","3",""
"38740","DUNCAN","Jackson,MS","3",""
"38744","GLEN ALLAN","Jackson,MS","3",""
"38745","GRACE","Jackson,MS","3",""
"38746","GUNNISON","Jackson,MS","3",""
"38748","HOLLANDALE","Jackson,MS","3",""
"38751","INDIANOLA","Jackson,MS","3",""
"38753","INVERNESS","Jackson,MS","3",""
"38754","ISOLA","Jackson,MS","3",""
"38756","LELAND","Jackson,MS","3",""
"38759","MERIGOLD","Jackson,MS","3",""
"38760","METCALFE","Jackson,MS","3",""
"38761","MOORHEAD","Jackson,MS","3",""
"38762","MOUND BAYOU","Jackson,MS","3",""
"38764","PACE","Jackson,MS","3",""
"38765","PANTHER BURN","Jackson,MS","3",""
"38767","RENA LARA","Jackson,MS","3",""
"38768","ROME","Jackson,MS","3",""
"38769","ROSEDALE","Jackson,MS","3",""
"38771","RULEVILLE","Jackson,MS","3",""
"38772","SCOTT","Jackson,MS","3",""
"38773","SHAW","Jackson,MS","3",""
"38776","STONEVILLE","Jackson,MS","3",""
"38778","SUNFLOWER","Jackson,MS","3",""
"38780","WAYSIDE","Jackson,MS","3",""
"38781","WINSTONVILLE","Jackson,MS","3",""
"38782","WINTERVILLE","Jackson,MS","3",""
"38802","TUPELO","Jackson,MS","3",""
"38803","TUPELO","Jackson,MS","3",""
"38820","ALGOMA","Jackson,MS","3",""
"38821","AMORY","Jackson,MS","3",""
"38825","BECKER","Jackson,MS","3",""
"38839","DERMA","Jackson,MS","3",""
"38850","HOULKA","Jackson,MS","3",""
"38851","HOUSTON","Jackson,MS","3",""
"38858","NETTLETON","Jackson,MS","3",""
"38860","OKOLONA","Jackson,MS","3",""
"38862","PLANTERSVILLE","Jackson,MS","3",""
"38864","RANDOLPH","Jackson,MS","3",""
"38869","SHERMAN","Jackson,MS","3",""
"38870","SMITHVILLE","Jackson,MS","3",""
"38874","TOCCOPOLA","Jackson,MS","3",""
"38875","TREBLOC","Jackson,MS","3",""
"38877","VAN VLEET","Jackson,MS","3",""
"38878","VARDAMAN","Jackson,MS","3",""
"38879","VERONA","Jackson,MS","3",""
"38901","GRENADA","Jackson,MS","3",""
"38902","GRENADA","Jackson,MS","3",""
"38913","BANNER","Jackson,MS","3",""
"38914","BIG CREEK","Jackson,MS","3",""
"38915","BRUCE","Jackson,MS","3",""
"38916","CALHOUN CITY","Jackson,MS","3",""
"38917","CARROLLTON","Jackson,MS","3",""
"38920","CASCILLA","Jackson,MS","3",""
"38921","CHARLESTON","Jackson,MS","3",""
"38923","COILA","Jackson,MS","3",""
"38924","CRUGER","Jackson,MS","3",""
"38925","DUCK HILL","Jackson,MS","3",""
"38928","GLENDORA","Jackson,MS","3",""
"38929","GORE SPRINGS","Jackson,MS","3",""
"38930","GREENWOOD","Jackson,MS","3",""
"38935","GREENWOOD","Jackson,MS","3",""
"38940","HOLCOMB","Jackson,MS","3",""
"38941","ITTA BENA","Jackson,MS","3",""
"38943","MC CARLEY","Jackson,MS","3",""
"38944","MINTER CITY","Jackson,MS","3",""
"38946","MORGAN CITY","Jackson,MS","3",""
"38947","NORTH CARROLLTON","Jackson,MS","3",""
"38949","PARIS","Jackson,MS","3",""
"38950","PHILIPP","Jackson,MS","3",""
"38951","PITTSBORO","Jackson,MS","3",""
"38952","SCHLATER","Jackson,MS","3",""
"38953","SCOBEY","Jackson,MS","3",""
"38954","SIDON","Jackson,MS","3",""
"38957","SUMNER","Jackson,MS","3",""
"38959","SWIFTOWN","Jackson,MS","3",""
"38960","TIE PLANT","Jackson,MS","3",""
"38961","TILLATOBA","Jackson,MS","3",""
"38962","TIPPO","Jackson,MS","3",""
"38963","TUTWILER","Jackson,MS","3",""
"38964","VANCE","Jackson,MS","3",""
"38966","WEBB","Jackson,MS","3",""
"38967","WINONA","Jackson,MS","3",""
"39038","BELZONI","Jackson,MS","3",""
"39039","BENTON","Jackson,MS","3",""
"39040","BENTONIA","Jackson,MS","3",""
"39041","BOLTON","Jackson,MS","3",""
"39042","BRANDON","Jackson,MS","3",""
"39043","BRANDON","Jackson,MS","3",""
"39044","BRAXTON","Jackson,MS","3",""
"39045","CAMDEN","Jackson,MS","3",""
"39046","CANTON","Jackson,MS","3",""
"39047","BRANDON","Jackson,MS","3",""
"39051","CARTHAGE","Jackson,MS","3",""
"39054","CARY","Jackson,MS","3",""
"39056","CLINTON","Jackson,MS","3",""
"39057","CONEHATTA","Jackson,MS","3",""
"39058","CLINTON","Jackson,MS","3",""
"39059","CRYSTAL SPRINGS","Jackson,MS","3",""
"39060","CLINTON","Jackson,MS","3",""
"39061","DELTA CITY","Jackson,MS","3",""
"39062","D LO","Jackson,MS","3",""
"39063","DURANT","Jackson,MS","3",""
"39066","EDWARDS","Jackson,MS","3",""
"39067","ETHEL","Jackson,MS","3",""
"39071","FLORA","Jackson,MS","3",""
"39073","FLORENCE","Jackson,MS","3",""
"39074","FOREST","Jackson,MS","3",""
"39077","GALLMAN","Jackson,MS","3",""
"39078","GEORGETOWN","Jackson,MS","3",""
"39079","GOODMAN","Jackson,MS","3",""
"39080","HARPERVILLE","Jackson,MS","3",""
"39082","HARRISVILLE","Jackson,MS","3",""
"39083","HAZLEHURST","Jackson,MS","3",""
"39087","HILLSBORO","Jackson,MS","3",""
"39088","HOLLY BLUFF","Jackson,MS","3",""
"39090","KOSCIUSKO","Jackson,MS","3",""
"39092","LAKE","Jackson,MS","3",""
"39094","LENA","Jackson,MS","3",""
"39095","LEXINGTON","Jackson,MS","3",""
"39097","LOUISE","Jackson,MS","3",""
"39098","LUDLOW","Jackson,MS","3",""
"39108","MC COOL","Jackson,MS","3",""
"39109","MADDEN","Jackson,MS","3",""
"39110","MADISON","Jackson,MS","3",""
"39111","MAGEE","Jackson,MS","3",""
"39113","MAYERSVILLE","Jackson,MS","3",""
"39114","MENDENHALL","Jackson,MS","3",""
"39115","MIDNIGHT","Jackson,MS","3",""
"39116","MIZE","Jackson,MS","3",""
"39117","MORTON","Jackson,MS","3",""
"39119","MOUNT OLIVE","Jackson,MS","3",""
"39130","MADISON","Jackson,MS","3","3"
"39145","PELAHATCHIE","Jackson,MS","3",""
"39146","PICKENS","Jackson,MS","3",""
"39148","PINEY WOODS","Jackson,MS","3",""
"39149","PINOLA","Jackson,MS","3",""
"39151","PUCKETT","Jackson,MS","3",""
"39152","PULASKI","Jackson,MS","3",""
"39153","RALEIGH","Jackson,MS","3",""
"39154","RAYMOND","Jackson,MS","3",""
"39156","REDWOOD","Jackson,MS","3",""
"39157","RIDGELAND","Jackson,MS","3",""
"39158","RIDGELAND","Jackson,MS","3",""
"39159","ROLLING FORK","Jackson,MS","3",""
"39160","SALLIS","Jackson,MS","3",""
"39161","SANDHILL","Jackson,MS","3",""
"39162","SATARTIA","Jackson,MS","3",""
"39163","SHARON","Jackson,MS","3",""
"39166","SILVER CITY","Jackson,MS","3",""
"39167","STAR","Jackson,MS","3",""
"39168","TAYLORSVILLE","Jackson,MS","3",""
"39169","TCHULA","Jackson,MS","3",""
"39170","TERRY","Jackson,MS","3",""
"39171","THOMASTOWN","Jackson,MS","3",""
"39173","TINSLEY","Jackson,MS","3",""
"39174","TOUGALOO","Jackson,MS","3","3"
"39175","UTICA","Jackson,MS","3",""
"39176","VAIDEN","Jackson,MS","3",""
"39177","VALLEY PARK","Jackson,MS","3",""
"39179","VAUGHAN","Jackson,MS","3",""
"39180","VICKSBURG","Jackson,MS","3",""
"39181","VICKSBURG","Jackson,MS","3",""
"39182","VICKSBURG","Jackson,MS","3",""
"39183","VICKSBURG","Jackson,MS","3",""
"39189","WALNUT GROVE","Jackson,MS","3",""
"39191","WESSON","Jackson,MS","3",""
"39192","WEST","Jackson,MS","3",""
"39193","WHITFIELD","Jackson,MS","3",""
"39194","YAZOO CITY","Jackson,MS","3",""
"39201","JACKSON","Jackson,MS","3",""
"39202","JACKSON","Jackson,MS","3",""
"39203","JACKSON","Jackson,MS","3",""
"39204","JACKSON","Jackson,MS","3",""
"39205","JACKSON","Jackson,MS","3",""
"39206","JACKSON","Jackson,MS","3",""
"39207","JACKSON","Jackson,MS","3",""
"39208","PEARL","Jackson,MS","3",""
"39209","JACKSON","Jackson,MS","3",""
