"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"31304","CRESCENT","Jacksonville","3","T300"
"31305","DARIEN","Jacksonville","3","T300"
"31331","TOWNSEND","Jacksonville","3","T300"
"31501","WAYCROSS","Jacksonville","3","T300"
"31502","WAYCROSS","Jacksonville","3","T300"
"31503","WAYCROSS","Jacksonville","3","T300"
"31512","AMBROSE","Jacksonville","3","T400"
"31516","BLACKSHEAR","Jacksonville","3","T300"
"31519","BROXTON","Jacksonville","3","T400"
"31520","BRUNSWICK","Jacksonville","3","T200"
"31522","SAINT SIMONS ISLAND","Jacksonville","3","T300"
"31523","BRUNSWICK","Jacksonville","3","T200"
"31525","BRUNSWICK","Jacksonville","3","T200"
"31527","JEKYLL ISLAND","Jacksonville","3","T200"
"31533","DOUGLAS","Jacksonville","3","T400"
"31534","DOUGLAS","Jacksonville","3","T400"
"31535","DOUGLAS","Jacksonville","3","T400"
"31537","FOLKSTON","Jacksonville","3",""
"31542","HOBOKEN","Jacksonville","3","T200"
"31543","HORTENSE","Jacksonville","3","T300"
"31547","KINGS BAY","Jacksonville","3",""
"31548","KINGSLAND","Jacksonville","3",""
"31550","MANOR","Jacksonville","3",""
"31552","MILLWOOD","Jacksonville","3","T300"
"31553","NAHUNTA","Jacksonville","3","T200"
"31554","NICHOLLS","Jacksonville","3","T400"
"31557","PATTERSON","Jacksonville","3","T300"
"31558","SAINT MARYS","Jacksonville","3",""
"31561","SEA ISLAND","Jacksonville","3","T300"
"31562","SAINT GEORGE","Jacksonville","3",""
"31564","WARESBORO","Jacksonville","3","T300"
"31565","WAVERLY","Jacksonville","3",""
"31566","WAYNESVILLE","Jacksonville","3","T200"
"31567","WEST GREEN","Jacksonville","3","T400"
"31568","WHITE OAK","Jacksonville","3",""
"31569","WOODBINE","Jacksonville","3",""
"31622","ALAPAHA","Jacksonville","3","T400"
"31623","ARGYLE","Jacksonville","3","T400"
"31624","AXSON","Jacksonville","3","T400"
"31630","DU PONT","Jacksonville","3","T400"
"31631","FARGO","Jacksonville","3","T200"
"31634","HOMERVILLE","Jacksonville","3","T300"
"31635","LAKELAND","Jacksonville","3","T400"
"31642","PEARSON","Jacksonville","3","T400"
"31648","STATENVILLE","Jacksonville","3","T400"
"31649","STOCKTON","Jacksonville","3","T400"
"31650","WILLACOOCHEE","Jacksonville","3","T400"
"31769","MYSTIC","Jacksonville","3","T400"
"31798","WRAY","Jacksonville","3","T400"
"32003","FLEMING ISLAND","Jacksonville","3",""
"32008","BRANFORD","Jacksonville","3","T300"
"32009","BRYCEVILLE","Jacksonville","3",""
"32011","CALLAHAN","Jacksonville","3",""
"32013","DAY","Jacksonville","3","T400"
"32024","LAKE CITY","Jacksonville","3","T200"
"32025","LAKE CITY","Jacksonville","3",""
"32033","ELKTON","Jacksonville","3",""
"32034","FERNANDINA BEACH","Jacksonville","3",""
"32038","FORT WHITE","Jacksonville","3","T200"
"32040","GLEN SAINT MARY","Jacksonville","3",""
"32042","GRAHAM","Jacksonville","3",""
"32043","GREEN COVE SPRINGS","Jacksonville","3",""
"32044","HAMPTON","Jacksonville","3",""
"32046","HILLIARD","Jacksonville","3",""
"32052","JASPER","Jacksonville","3","T300"
"32053","JENNINGS","Jacksonville","3","T300"
"32054","LAKE BUTLER","Jacksonville","3",""
"32055","LAKE CITY","Jacksonville","3",""
"32056","LAKE CITY","Jacksonville","3",""
"32058","LAWTEY","Jacksonville","3",""
"32060","LIVE OAK","Jacksonville","3","T300"
"32061","LULU","Jacksonville","3",""
"32062","MC ALPIN","Jacksonville","3","T300"
"32063","MACCLENNY","Jacksonville","3",""
"32064","LIVE OAK","Jacksonville","3","T300"
"32065","ORANGE PARK","Jacksonville","3",""
"32066","MAYO","Jacksonville","3","T400"
"32068","MIDDLEBURG","Jacksonville","3",""
"32071","O BRIEN","Jacksonville","3","T300"
"32073","ORANGE PARK","Jacksonville","3",""
"32080","SAINT AUGUSTINE","Jacksonville","3",""
"32081","PONTE VEDRA","Jacksonville","3",""
"32082","PONTE VEDRA BEACH","Jacksonville","3",""
"32083","RAIFORD","Jacksonville","3",""
"32084","SAINT AUGUSTINE","Jacksonville","3",""
"32086","SAINT AUGUSTINE","Jacksonville","3",""
"32087","SANDERSON","Jacksonville","3",""
"32091","STARKE","Jacksonville","3",""
"32092","SAINT AUGUSTINE","Jacksonville","3",""
"32094","WELLBORN","Jacksonville","3","T200"
"32095","SAINT AUGUSTINE","Jacksonville","3",""
"32096","WHITE SPRINGS","Jacksonville","3","T200"
"32097","YULEE","Jacksonville","3",""
"32110","BUNNELL","Jacksonville","3","T200"
"32112","CRESCENT CITY","Jacksonville","3","T200"
"32113","CITRA","Jacksonville","3","T300"
"32131","EAST PALATKA","Jacksonville","3",""
"32134","FORT MC COY","Jacksonville","3","T300"
"32136","FLAGLER BEACH","Jacksonville","3",""
"32137","PALM COAST","Jacksonville","3",""
"32139","GEORGETOWN","Jacksonville","3","T200"
"32140","FLORAHOME","Jacksonville","3",""
"32145","HASTINGS","Jacksonville","3",""
"32148","INTERLACHEN","Jacksonville","3",""
"32164","PALM COAST","Jacksonville","3",""
"32174","ORMOND BEACH","Jacksonville","3",""
"32176","ORMOND BEACH","Jacksonville","3",""
"32177","PALATKA","Jacksonville","3",""
"32178","PALATKA","Jacksonville","3",""
"32180","PIERSON","Jacksonville","3",""
"32181","POMONA PARK","Jacksonville","3","T200"
"32187","SAN MATEO","Jacksonville","3",""
"32189","SATSUMA","Jacksonville","3",""
"32190","SEVILLE","Jacksonville","3","T300"
"32193","WELAKA","Jacksonville","3","T200"
"32202","JACKSONVILLE","Jacksonville","3",""
"32204","JACKSONVILLE","Jacksonville","3",""
"32205","JACKSONVILLE","Jacksonville","3",""
"32206","JACKSONVILLE","Jacksonville","3",""
"32207","JACKSONVILLE","Jacksonville","3",""
"32208","JACKSONVILLE","Jacksonville","3",""
"32209","JACKSONVILLE","Jacksonville","3",""
"32210","JACKSONVILLE","Jacksonville","3",""
"32211","JACKSONVILLE","Jacksonville","3",""
"32212","JACKSONVILLE","Jacksonville","3",""
"32214","JACKSONVILLE","Jacksonville","3",""
"32216","JACKSONVILLE","Jacksonville","3",""
"32217","JACKSONVILLE","Jacksonville","3",""
"32218","JACKSONVILLE","Jacksonville","3",""
"32219","JACKSONVILLE","Jacksonville","3",""
"32220","JACKSONVILLE","Jacksonville","3",""
"32221","JACKSONVILLE","Jacksonville","3",""
"32222","JACKSONVILLE","Jacksonville","3",""
"32223","JACKSONVILLE","Jacksonville","3",""
"32224","JACKSONVILLE","Jacksonville","3",""
"32225","JACKSONVILLE","Jacksonville","3",""
"32226","JACKSONVILLE","Jacksonville","3",""
"32227","JACKSONVILLE","Jacksonville","3",""
"32233","ATLANTIC BEACH","Jacksonville","3",""
"32234","JACKSONVILLE","Jacksonville","3",""
"32244","JACKSONVILLE","Jacksonville","3",""
"32246","JACKSONVILLE","Jacksonville","3",""
"32250","JACKSONVILLE BEACH","Jacksonville","3",""
"32254","JACKSONVILLE","Jacksonville","3",""
"32256","JACKSONVILLE","Jacksonville","3",""
"32257","JACKSONVILLE","Jacksonville","3",""
"32258","JACKSONVILLE","Jacksonville","3",""
"32259","SAINT JOHNS","Jacksonville","3",""
"32266","NEPTUNE BEACH","Jacksonville","3",""
"32277","JACKSONVILLE","Jacksonville","3",""
"32356","SALEM","Jacksonville","3","T400"
"32601","GAINESVILLE","Jacksonville","3","T200"
"32602","GAINESVILLE","Jacksonville","3","T200"
"32603","GAINESVILLE","Jacksonville","3","T200"
"32604","GAINESVILLE","Jacksonville","3","T200"
"32605","GAINESVILLE","Jacksonville","3","T200"
"32606","GAINESVILLE","Jacksonville","3","T200"
"32607","GAINESVILLE","Jacksonville","3","T200"
"32608","GAINESVILLE","Jacksonville","3","T200"
"32609","GAINESVILLE","Jacksonville","3",""
"32610","GAINESVILLE","Jacksonville","3","T200"
"32611","GAINESVILLE","Jacksonville","3","T200"
"32612","GAINESVILLE","Jacksonville","3","T200"
"32614","GAINESVILLE","Jacksonville","3","T200"
"32615","ALACHUA","Jacksonville","3","T200"
"32616","ALACHUA","Jacksonville","3","T200"
"32617","ANTHONY","Jacksonville","3","T300"
"32618","ARCHER","Jacksonville","3","T300"
"32619","BELL","Jacksonville","3","T300"
"32621","BRONSON","Jacksonville","3","T300"
"32622","BROOKER","Jacksonville","3",""
"32625","CEDAR KEY","Jacksonville","3",""
"32626","CHIEFLAND","Jacksonville","3","T400"
"32627","GAINESVILLE","Jacksonville","3","T200"
"32628","CROSS CITY","Jacksonville","3","T400"
"32631","EARLETON","Jacksonville","3",""
"32635","GAINESVILLE","Jacksonville","3","T200"
"32640","HAWTHORNE","Jacksonville","3","T200"
"32641","GAINESVILLE","Jacksonville","3","T200"
"32643","HIGH SPRINGS","Jacksonville","3","T200"
"32644","CHIEFLAND","Jacksonville","3","T400"
"32648","HORSESHOE BEACH","Jacksonville","3","T400"
"32653","GAINESVILLE","Jacksonville","3","T200"
"32655","HIGH SPRINGS","Jacksonville","3",""
"32656","KEYSTONE HEIGHTS","Jacksonville","3",""
"32658","LA CROSSE","Jacksonville","3",""
"32666","MELROSE","Jacksonville","3","T200"
"32667","MICANOPY","Jacksonville","3","T300"
"32668","MORRISTON","Jacksonville","3","T400"
"32669","NEWBERRY","Jacksonville","3","T300"
"32680","OLD TOWN","Jacksonville","3","T400"
"32686","REDDICK","Jacksonville","3","T300"
"32693","TRENTON","Jacksonville","3","T300"
"32694","WALDO","Jacksonville","3",""
"32696","WILLISTON","Jacksonville","3","T300"
"32697","WORTHINGTON SPRINGS","Jacksonville","3",""
"34449","INGLIS","Jacksonville","3","T400"
"34470","OCALA","Jacksonville","3",""
"34471","OCALA","Jacksonville","3",""
"34472","OCALA","Jacksonville","3",""
"34474","OCALA","Jacksonville","3",""
"34476","OCALA","Jacksonville","3",""
"34479","OCALA","Jacksonville","3",""
"34480","OCALA","Jacksonville","3",""
"34481","OCALA","Jacksonville","3",""
"34482","OCALA","Jacksonville","3","T400"
"34488","SILVER SPRINGS","Jacksonville","3",""
"34498","YANKEETOWN","Jacksonville","3",""
