"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"63821","ARBYRD","Jonesboro","3","T400"
"63826","BRAGGADOCIO","Jonesboro","3","T400"
"63827","BRAGG CITY","Jonesboro","3",""
"63829","CARDWELL","Jonesboro","3","T400"
"63839","COOTER","Jonesboro","3","T400"
"63849","GOBLER","Jonesboro","3",""
"63852","HOLCOMB","Jonesboro","3",""
"63853","HOLLAND","Jonesboro","3","T400"
"63855","HORNERSVILLE","Jonesboro","3","T400"
"63857","KENNETT","Jonesboro","3","T400"
"63876","SENATH","Jonesboro","3",""
"63877","STEELE","Jonesboro","3","T400"
"63879","WARDELL","Jonesboro","3",""
"63935","DONIPHAN","Jonesboro","3",""
"63942","GATEWOOD","Jonesboro","3",""
"72005","AMAGON","Jonesboro","3","T400"
"72014","BEEDEVILLE","Jonesboro","3",""
"72020","BRADFORD","Jonesboro","3",""
"72043","DIAZ","Jonesboro","3",""
"72075","JACKSONPORT","Jonesboro","3",""
"72112","NEWPORT","Jonesboro","3",""
"72165","THIDA","Jonesboro","3",""
"72303","WEST MEMPHIS","Jonesboro","3",""
"72310","ARMOREL","Jonesboro","3","T300"
"72313","BASSETT","Jonesboro","3","T200"
"72315","BLYTHEVILLE","Jonesboro","3","T400"
"72321","BURDETTE","Jonesboro","3","T400"
"72329","DRIVER","Jonesboro","3","T200"
"72330","DYESS","Jonesboro","3","T200"
"72336","FORREST CITY","Jonesboro","3","T200"
"72351","KEISER","Jonesboro","3","T200"
"72354","LEPANTO","Jonesboro","3","T200"
"72358","LUXORA","Jonesboro","3","T300"
"72365","MARKED TREE","Jonesboro","3","T200"
"72370","OSCEOLA","Jonesboro","3","T200"
"72377","RIVERVALE","Jonesboro","3","T200"
"72387","VANNDALE","Jonesboro","3","T300"
"72391","WEST RIDGE","Jonesboro","3","T200"
"72395","WILSON","Jonesboro","3","T200"
"72401","JONESBORO","Jonesboro","3","T300"
"72402","JONESBORO","Jonesboro","3","T300"
"72403","JONESBORO","Jonesboro","3","T300"
"72404","JONESBORO","Jonesboro","3","T300"
"72405","","Jonesboro","3","T400"
"72410","ALICIA","Jonesboro","3",""
"72411","BAY","Jonesboro","3","T300"
"72412","BEECH GROVE","Jonesboro","3",""
"72413","BIGGERS","Jonesboro","3",""
"72414","BLACK OAK","Jonesboro","3","T300"
"72415","BLACK ROCK","Jonesboro","3",""
"72416","BONO","Jonesboro","3","T400"
"72417","BROOKLAND","Jonesboro","3","T300"
"72419","CARAWAY","Jonesboro","3","T200"
"72421","CASH","Jonesboro","3",""
"72422","CORNING","Jonesboro","3",""
"72424","DATTO","Jonesboro","3",""
"72425","DELAPLAINE","Jonesboro","3",""
"72426","DELL","Jonesboro","3","T300"
"72427","EGYPT","Jonesboro","3","T400"
"72428","ETOWAH","Jonesboro","3","T300"
"72430","GREENWAY","Jonesboro","3",""
"72431","GRUBBS","Jonesboro","3","T400"
"72432","HARRISBURG","Jonesboro","3","T300"
"72433","HOXIE","Jonesboro","3",""
"72434","IMBODEN","Jonesboro","3",""
"72435","KNOBEL","Jonesboro","3",""
"72436","LAFE","Jonesboro","3",""
"72437","LAKE CITY","Jonesboro","3","T300"
"72438","LEACHVILLE","Jonesboro","3","T300"
"72440","LYNN","Jonesboro","3",""
"72441","MC DOUGAL","Jonesboro","3",""
"72442","MANILA","Jonesboro","3","T300"
"72443","MARMADUKE","Jonesboro","3",""
"72444","MAYNARD","Jonesboro","3",""
"72445","MINTURN","Jonesboro","3",""
"72447","MONETTE","Jonesboro","3","T300"
"72449","O KEAN","Jonesboro","3",""
"72450","PARAGOULD","Jonesboro","3","T400"
"72451","PARAGOULD","Jonesboro","3",""
"72453","PEACH ORCHARD","Jonesboro","3",""
"72454","PIGGOTT","Jonesboro","3",""
"72455","POCAHONTAS","Jonesboro","3",""
"72456","POLLARD","Jonesboro","3",""
"72457","PORTIA","Jonesboro","3",""
"72458","POWHATAN","Jonesboro","3",""
"72459","RAVENDEN","Jonesboro","3",""
"72460","RAVENDEN SPRINGS","Jonesboro","3",""
"72461","RECTOR","Jonesboro","3",""
"72462","REYNO","Jonesboro","3",""
"72465","SEDGWICK","Jonesboro","3",""
"72466","SMITHVILLE","Jonesboro","3",""
"72467","STATE UNIVERSITY","Jonesboro","3","T300"
"72469","STRAWBERRY","Jonesboro","3",""
"72470","SUCCESS","Jonesboro","3",""
"72471","SWIFTON","Jonesboro","3",""
"72472","TRUMANN","Jonesboro","3","T200"
"72473","TUCKERMAN","Jonesboro","3",""
"72474","WALCOTT","Jonesboro","3",""
"72475","WALDENBURG","Jonesboro","3","T300"
"72476","WALNUT RIDGE","Jonesboro","3",""
"72478","WARM SPRINGS","Jonesboro","3",""
"72479","WEINER","Jonesboro","3","T400"
"72482","WILLIFORD","Jonesboro","3",""
"72501","BATESVILLE","Jonesboro","3",""
"72521","CAVE CITY","Jonesboro","3",""
"72524","CORD","Jonesboro","3",""
"72550","LOCUST GROVE","Jonesboro","3",""
"72553","MAGNESS","Jonesboro","3",""
"72562","NEWARK","Jonesboro","3",""
"72564","OIL TROUGH","Jonesboro","3",""
"72568","PLEASANT PLAINS","Jonesboro","3",""
"72569","POUGHKEEPSIE","Jonesboro","3",""
"72572","SAFFELL","Jonesboro","3",""
