"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"24248","EWING","Knoxville","3",""
"37337","GRANDVIEW","Knoxville","3",""
"37354","MADISONVILLE","Knoxville","3",""
"37381","SPRING CITY","Knoxville","3",""
"37642","CHURCH HILL","Knoxville","3",""
"37701","ALCOA","Knoxville","3",""
"37705","ANDERSONVILLE","Knoxville","3",""
"37707","ARTHUR","Knoxville","3",""
"37708","BEAN STATION","Knoxville","3",""
"37709","BLAINE","Knoxville","3",""
"37710","BRICEVILLE","Knoxville","3",""
"37711","BULLS GAP","Knoxville","3",""
"37713","BYBEE","Knoxville","3",""
"37714","CARYVILLE","Knoxville","3",""
"37715","CLAIRFIELD","Knoxville","3","T400"
"37716","CLINTON","Knoxville","3",""
"37717","CLINTON","Knoxville","3",""
"37719","COALFIELD","Knoxville","3",""
"37721","CORRYTON","Knoxville","3",""
"37722","COSBY","Knoxville","3",""
"37723","CRAB ORCHARD","Knoxville","3",""
"37724","CUMBERLAND GAP","Knoxville","3",""
"37725","DANDRIDGE","Knoxville","3",""
"37726","DEER LODGE","Knoxville","3",""
"37727","DEL RIO","Knoxville","3",""
"37729","DUFF","Knoxville","3","T400"
"37730","EAGAN","Knoxville","3","T400"
"37731","EIDSON","Knoxville","3",""
"37732","ELGIN","Knoxville","3",""
"37733","RUGBY","Knoxville","3",""
"37737","FRIENDSVILLE","Knoxville","3",""
"37738","GATLINBURG","Knoxville","3",""
"37742","GREENBACK","Knoxville","3",""
"37743","GREENEVILLE","Knoxville","3",""
"37745","GREENEVILLE","Knoxville","3",""
"37748","HARRIMAN","Knoxville","3",""
"37752","HARROGATE","Knoxville","3",""
"37753","HARTFORD","Knoxville","3",""
"37754","HEISKELL","Knoxville","3",""
"37755","HELENWOOD","Knoxville","3",""
"37756","HUNTSVILLE","Knoxville","3",""
"37757","JACKSBORO","Knoxville","3",""
"37760","JEFFERSON CITY","Knoxville","3",""
"37762","JELLICO","Knoxville","3",""
"37763","KINGSTON","Knoxville","3",""
"37764","KODAK","Knoxville","3",""
"37766","LA FOLLETTE","Knoxville","3",""
"37769","ROCKY TOP","Knoxville","3",""
"37770","LANCING","Knoxville","3",""
"37771","LENOIR CITY","Knoxville","3",""
"37772","LENOIR CITY","Knoxville","3",""
"37773","LONE MOUNTAIN","Knoxville","3",""
"37774","LOUDON","Knoxville","3",""
"37777","LOUISVILLE","Knoxville","3",""
"37778","LOWLAND","Knoxville","3",""
"37779","LUTTRELL","Knoxville","3",""
"37801","MARYVILLE","Knoxville","3",""
"37802","MARYVILLE","Knoxville","3",""
"37803","MARYVILLE","Knoxville","3",""
"37804","MARYVILLE","Knoxville","3",""
"37806","MASCOT","Knoxville","3",""
"37807","MAYNARDVILLE","Knoxville","3",""
"37809","MIDWAY","Knoxville","3",""
"37810","MOHAWK","Knoxville","3",""
"37811","MOORESBURG","Knoxville","3",""
"37813","MORRISTOWN","Knoxville","3",""
"37814","MORRISTOWN","Knoxville","3",""
"37815","MORRISTOWN","Knoxville","3",""
"37816","MORRISTOWN","Knoxville","3",""
"37818","MOSHEIM","Knoxville","3",""
"37819","NEWCOMB","Knoxville","3",""
"37820","NEW MARKET","Knoxville","3",""
"37821","NEWPORT","Knoxville","3",""
"37822","NEWPORT","Knoxville","3","T400"
"37824","NEW TAZEWELL","Knoxville","3",""
"37825","NEW TAZEWELL","Knoxville","3",""
"37826","NIOTA","Knoxville","3",""
"37828","NORRIS","Knoxville","3",""
"37829","OAKDALE","Knoxville","3",""
"37830","OAK RIDGE","Knoxville","3",""
"37831","OAK RIDGE","Knoxville","3",""
"37840","OLIVER SPRINGS","Knoxville","3",""
"37841","ONEIDA","Knoxville","3",""
"37843","PARROTTSVILLE","Knoxville","3",""
"37845","PETROS","Knoxville","3",""
"37846","PHILADELPHIA","Knoxville","3",""
"37847","PIONEER","Knoxville","3",""
"37848","POWDER SPRINGS","Knoxville","3",""
"37849","POWELL","Knoxville","3",""
"37851","PRUDEN","Knoxville","3","T400"
"37852","ROBBINS","Knoxville","3",""
"37853","ROCKFORD","Knoxville","3",""
"37854","ROCKWOOD","Knoxville","3",""
"37857","ROGERSVILLE","Knoxville","3",""
"37860","RUSSELLVILLE","Knoxville","3",""
"37861","RUTLEDGE","Knoxville","3",""
"37862","SEVIERVILLE","Knoxville","3",""
"37863","PIGEON FORGE","Knoxville","3",""
"37864","SEVIERVILLE","Knoxville","3",""
"37865","SEYMOUR","Knoxville","3",""
"37866","SHARPS CHAPEL","Knoxville","3",""
"37867","SHAWANEE","Knoxville","3",""
"37868","PIGEON FORGE","Knoxville","3",""
"37869","SNEEDVILLE","Knoxville","3",""
"37870","SPEEDWELL","Knoxville","3",""
"37871","STRAWBERRY PLAINS","Knoxville","3",""
"37872","SUNBRIGHT","Knoxville","3",""
"37873","SURGOINSVILLE","Knoxville","3",""
"37874","SWEETWATER","Knoxville","3",""
"37876","SEVIERVILLE","Knoxville","3",""
"37877","TALBOTT","Knoxville","3",""
"37878","TALLASSEE","Knoxville","3",""
"37879","TAZEWELL","Knoxville","3",""
"37880","TEN MILE","Knoxville","3",""
"37881","THORN HILL","Knoxville","3",""
"37882","TOWNSEND","Knoxville","3",""
"37885","VONORE","Knoxville","3",""
"37886","WALLAND","Knoxville","3",""
"37887","WARTBURG","Knoxville","3",""
"37888","WASHBURN","Knoxville","3",""
"37890","WHITE PINE","Knoxville","3",""
"37891","WHITESBURG","Knoxville","3",""
"37892","WINFIELD","Knoxville","3",""
"37901","KNOXVILLE","Knoxville","3",""
"37902","KNOXVILLE","Knoxville","3",""
"37909","KNOXVILLE","Knoxville","3",""
"37912","KNOXVILLE","Knoxville","3",""
"37914","KNOXVILLE","Knoxville","3",""
"37915","KNOXVILLE","Knoxville","3",""
"37916","KNOXVILLE","Knoxville","3",""
"37917","KNOXVILLE","Knoxville","3",""
"37918","KNOXVILLE","Knoxville","3",""
"37919","KNOXVILLE","Knoxville","3",""
"37920","KNOXVILLE","Knoxville","3",""
"37921","KNOXVILLE","Knoxville","3",""
"37922","KNOXVILLE","Knoxville","3",""
"37923","KNOXVILLE","Knoxville","3",""
"37924","KNOXVILLE","Knoxville","3",""
"37927","KNOXVILLE","Knoxville","3",""
"37928","KNOXVILLE","Knoxville","3",""
"37929","KNOXVILLE","Knoxville","3",""
"37930","KNOXVILLE","Knoxville","3",""
"37931","KNOXVILLE","Knoxville","3",""
"37932","KNOXVILLE","Knoxville","3",""
"37933","KNOXVILLE","Knoxville","3",""
"37934","KNOXVILLE","Knoxville","3",""
"37938","KNOXVILLE","Knoxville","3",""
"37939","KNOXVILLE","Knoxville","3",""
"37940","KNOXVILLE","Knoxville","3",""
"37950","KNOXVILLE","Knoxville","3",""
"37995","KNOXVILLE","Knoxville","3",""
"37996","KNOXVILLE","Knoxville","3",""
"37997","KNOXVILLE","Knoxville","3",""
"37998","KNOXVILLE","Knoxville","3",""
"38504","ALLARDT","Knoxville","3",""
"38553","CLARKRANGE","Knoxville","3",""
"38555","CROSSVILLE","Knoxville","3",""
"38556","JAMESTOWN","Knoxville","3",""
"38557","CROSSVILLE","Knoxville","3",""
"38558","CROSSVILLE","Knoxville","3",""
"38565","GRIMSLEY","Knoxville","3",""
"38571","CROSSVILLE","Knoxville","3",""
"38572","CROSSVILLE","Knoxville","3",""
"38577","PALL MALL","Knoxville","3",""
"38589","WILDER","Knoxville","3",""
"40701","CORBIN","Knoxville","3",""
"40730","EMLYN","Knoxville","3","T400"
"40741","LONDON","Knoxville","3",""
"40744","LONDON","Knoxville","3",""
"40759","ROCKHOLDS","Knoxville","3",""
"40763","SILER","Knoxville","3","T400"
"40769","WILLIAMSBURG","Knoxville","3",""
"40813","CALVIN","Knoxville","3",""
"40856","MIRACLE","Knoxville","3",""
"40921","BRYANTS STORE","Knoxville","3",""
"40939","FOURMILE","Knoxville","3",""
"40940","FRAKES","Knoxville","3",""
"40955","INGRAM","Knoxville","3",""
"40965","MIDDLESBORO","Knoxville","3",""
"40977","PINEVILLE","Knoxville","3",""
"40995","TROSPER","Knoxville","3",""
"42635","PINE KNOT","Knoxville","3",""
"42638","REVELO","Knoxville","3",""
"42647","STEARNS","Knoxville","3",""
"42649","STRUNK","Knoxville","3",""
