"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"70501","LAFAYETTE","Lake Charles","3",""
"70502","LAFAYETTE","Lake Charles","3",""
"70503","LAFAYETTE","Lake Charles","3",""
"70504","LAFAYETTE","Lake Charles","3",""
"70505","LAFAYETTE","Lake Charles","3",""
"70506","LAFAYETTE","Lake Charles","3",""
"70507","LAFAYETTE","Lake Charles","3",""
"70508","LAFAYETTE","Lake Charles","3",""
"70509","LAFAYETTE","Lake Charles","3",""
"70510","ABBEVILLE","Lake Charles","3",""
"70511","ABBEVILLE","Lake Charles","3",""
"70512","ARNAUDVILLE","Lake Charles","3",""
"70513","AVERY ISLAND","Lake Charles","3",""
"70515","BASILE","Lake Charles","3",""
"70516","BRANCH","Lake Charles","3",""
"70517","BREAUX BRIDGE","Lake Charles","3",""
"70518","BROUSSARD","Lake Charles","3",""
"70519","CADE","Lake Charles","3",""
"70520","CARENCRO","Lake Charles","3",""
"70521","CECILIA","Lake Charles","3",""
"70524","CHATAIGNIER","Lake Charles","3",""
"70525","CHURCH POINT","Lake Charles","3",""
"70526","CROWLEY","Lake Charles","3",""
"70527","CROWLEY","Lake Charles","3",""
"70528","DELCAMBRE","Lake Charles","3",""
"70529","DUSON","Lake Charles","3",""
"70531","EGAN","Lake Charles","3",""
"70532","ELTON","Lake Charles","3",""
"70533","ERATH","Lake Charles","3",""
"70534","ESTHERWOOD","Lake Charles","3",""
"70535","EUNICE","Lake Charles","3",""
"70537","EVANGELINE","Lake Charles","3",""
"70541","GRAND COTEAU","Lake Charles","3",""
"70542","GUEYDAN","Lake Charles","3",""
"70543","IOTA","Lake Charles","3",""
"70546","JENNINGS","Lake Charles","3",""
"70548","KAPLAN","Lake Charles","3",""
"70549","LAKE ARTHUR","Lake Charles","3",""
"70550","LAWTELL","Lake Charles","3",""
"70551","LEONVILLE","Lake Charles","3",""
"70552","LOREAUVILLE","Lake Charles","3",""
"70554","MAMOU","Lake Charles","3",""
"70555","MAURICE","Lake Charles","3",""
"70556","MERMENTAU","Lake Charles","3",""
"70558","MILTON","Lake Charles","3",""
"70559","MORSE","Lake Charles","3",""
"70560","NEW IBERIA","Lake Charles","3",""
"70562","NEW IBERIA","Lake Charles","3",""
"70563","NEW IBERIA","Lake Charles","3",""
"70569","LYDIA","Lake Charles","3",""
"70570","OPELOUSAS","Lake Charles","3",""
"70571","OPELOUSAS","Lake Charles","3",""
"70575","PERRY","Lake Charles","3",""
"70577","PORT BARRE","Lake Charles","3",""
"70578","RAYNE","Lake Charles","3",""
"70580","REDDELL","Lake Charles","3",""
"70581","ROANOKE","Lake Charles","3",""
"70582","SAINT MARTINVILLE","Lake Charles","3",""
"70583","SCOTT","Lake Charles","3",""
"70584","SUNSET","Lake Charles","3",""
"70586","VILLE PLATTE","Lake Charles","3",""
"70589","WASHINGTON","Lake Charles","3",""
"70591","WELSH","Lake Charles","3",""
"70592","YOUNGSVILLE","Lake Charles","3",""
"70593","LAFAYETTE","Lake Charles","3",""
"70596","LAFAYETTE","Lake Charles","3",""
"70598","LAFAYETTE","Lake Charles","3",""
"70601","LAKE CHARLES","Lake Charles","3",""
"70602","LAKE CHARLES","Lake Charles","3",""
"70605","LAKE CHARLES","Lake Charles","3",""
"70606","LAKE CHARLES","Lake Charles","3",""
"70607","LAKE CHARLES","Lake Charles","3",""
"70609","LAKE CHARLES","Lake Charles","3",""
"70611","LAKE CHARLES","Lake Charles","3",""
"70612","LAKE CHARLES","Lake Charles","3",""
"70615","LAKE CHARLES","Lake Charles","3",""
"70616","LAKE CHARLES","Lake Charles","3",""
"70629","LAKE CHARLES","Lake Charles","3",""
"70630","BELL CITY","Lake Charles","3",""
"70631","CAMERON","Lake Charles","3",""
"70632","CREOLE","Lake Charles","3",""
"70633","DEQUINCY","Lake Charles","3",""
"70634","DERIDDER","Lake Charles","3",""
"70637","DRY CREEK","Lake Charles","3",""
"70640","FENTON","Lake Charles","3",""
"70643","GRAND CHENIER","Lake Charles","3",""
"70644","GRANT","Lake Charles","3",""
"70645","HACKBERRY","Lake Charles","3",""
"70646","HAYES","Lake Charles","3",""
"70647","IOWA","Lake Charles","3",""
"70648","KINDER","Lake Charles","3",""
"70650","LACASSINE","Lake Charles","3",""
"70651","LEBLANC","Lake Charles","3",""
"70652","LONGVILLE","Lake Charles","3",""
"70653","MERRYVILLE","Lake Charles","3",""
"70654","MITTIE","Lake Charles","3",""
"70655","OBERLIN","Lake Charles","3",""
"70657","RAGLEY","Lake Charles","3",""
"70658","REEVES","Lake Charles","3",""
