"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"71601","PINE BLUFF","Little Rock","3",""
"71602","WHITE HALL","Little Rock","3",""
"71603","PINE BLUFF","Little Rock","3",""
"71611","PINE BLUFF","Little Rock","3",""
"71612","WHITE HALL","Little Rock","3",""
"71613","PINE BLUFF","Little Rock","3",""
"71639","DUMAS","Little Rock","3",""
"71643","GOULD","Little Rock","3",""
"71644","GRADY","Little Rock","3",""
"71654","MC GEHEE","Little Rock","3",""
"71655","MONTICELLO","Little Rock","3",""
"71656","MONTICELLO","Little Rock","3",""
"71657","MONTICELLO","Little Rock","3",""
"71659","MOSCOW","Little Rock","3",""
"71662","PICKENS","Little Rock","3",""
"71667","STAR CITY","Little Rock","3",""
"71670","TILLAR","Little Rock","3",""
"71674","WATSON","Little Rock","3",""
"71675","WILMAR","Little Rock","3",""
"71677","WINCHESTER","Little Rock","3",""
"71678","YORKTOWN","Little Rock","3",""
"71901","HOT SPRINGS NATIONAL PARK","Little Rock","3",""
"71902","HOT SPRINGS NATIONAL PARK","Little Rock","3",""
"71903","HOT SPRINGS NATIONAL PARK","Little Rock","3",""
"71909","HOT SPRINGS VILLAGE","Little Rock","3",""
"71910","HOT SPRINGS VILLAGE","Little Rock","3",""
"71913","HOT SPRINGS NATIONAL PARK","Little Rock","3",""
"71914","HOT SPRINGS NATIONAL PARK","Little Rock","3",""
"71941","DONALDSON","Little Rock","3",""
"71942","FRIENDSHIP","Little Rock","3",""
"71998","ARKADELPHIA","Little Rock","3",""
"71999","ARKADELPHIA","Little Rock","3",""
"72002","ALEXANDER","Little Rock","3",""
"72004","ALTHEIMER","Little Rock","3",""
"72007","AUSTIN","Little Rock","3",""
"72011","BAUXITE","Little Rock","3",""
"72015","BENTON","Little Rock","3",""
"72016","BIGELOW","Little Rock","3",""
"72018","BENTON","Little Rock","3",""
"72019","BENTON","Little Rock","3",""
"72022","BRYANT","Little Rock","3",""
"72023","CABOT","Little Rock","3",""
"72032","CONWAY","Little Rock","3",""
"72033","CONWAY","Little Rock","3",""
"72034","CONWAY","Little Rock","3",""
"72035","CONWAY","Little Rock","3",""
"72037","COY","Little Rock","3",""
"72046","ENGLAND","Little Rock","3",""
"72053","COLLEGE STATION","Little Rock","3",""
"72055","GILLETT","Little Rock","3",""
"72057","GRAPEVINE","Little Rock","3",""
"72065","HENSLEY","Little Rock","3",""
"72070","HOUSTON","Little Rock","3",""
"72076","JACKSONVILLE","Little Rock","3",""
"72078","JACKSONVILLE","Little Rock","3",""
"72079","JEFFERSON","Little Rock","3",""
"72083","KEO","Little Rock","3",""
"72084","LEOLA","Little Rock","3",""
"72086","LONOKE","Little Rock","3",""
"72087","LONSDALE","Little Rock","3",""
"72089","BRYANT","Little Rock","3",""
"72099","LITTLE ROCK AIR FORCE BASE","Little Rock","3",""
"72103","MABELVALE","Little Rock","3",""
"72104","MALVERN","Little Rock","3",""
"72106","MAYFLOWER","Little Rock","3",""
"72107","MENIFEE","Little Rock","3",""
"72113","MAUMELLE","Little Rock","3",""
"72114","NORTH LITTLE ROCK","Little Rock","3",""
"72115","NORTH LITTLE ROCK","Little Rock","3",""
"72116","NORTH LITTLE ROCK","Little Rock","3",""
"72117","NORTH LITTLE ROCK","Little Rock","3",""
"72118","NORTH LITTLE ROCK","Little Rock","3",""
"72119","NORTH LITTLE ROCK","Little Rock","3",""
"72120","SHERWOOD","Little Rock","3",""
"72122","PARON","Little Rock","3",""
"72124","NORTH LITTLE ROCK","Little Rock","3",""
"72125","PERRY","Little Rock","3",""
"72126","PERRYVILLE","Little Rock","3",""
"72127","PLUMERVILLE","Little Rock","3",""
"72128","POYEN","Little Rock","3",""
"72129","PRATTSVILLE","Little Rock","3",""
"72132","REDFIELD","Little Rock","3",""
"72133","REYDELL","Little Rock","3",""
"72135","ROLAND","Little Rock","3",""
"72142","SCOTT","Little Rock","3",""
"72150","SHERIDAN","Little Rock","3",""
"72152","SHERRILL","Little Rock","3",""
"72158","BENTON","Little Rock","3",""
"72160","STUTTGART","Little Rock","3",""
"72164","SWEET HOME","Little Rock","3",""
"72166","TICHNOR","Little Rock","3",""
"72167","TRASKWOOD","Little Rock","3",""
"72168","TUCKER","Little Rock","3",""
"72173","VILONIA","Little Rock","3",""
"72180","WOODSON","Little Rock","3",""
"72181","WOOSTER","Little Rock","3",""
"72182","WRIGHT","Little Rock","3",""
"72183","WRIGHTSVILLE","Little Rock","3",""
"72190","NORTH LITTLE ROCK","Little Rock","3",""
"72199","NORTH LITTLE ROCK","Little Rock","3",""
"72201","LITTLE ROCK","Little Rock","3",""
"72202","LITTLE ROCK","Little Rock","3",""
"72203","LITTLE ROCK","Little Rock","3",""
"72204","LITTLE ROCK","Little Rock","3",""
"72205","LITTLE ROCK","Little Rock","3",""
"72206","LITTLE ROCK","Little Rock","3",""
"72207","LITTLE ROCK","Little Rock","3",""
"72209","LITTLE ROCK","Little Rock","3",""
"72210","LITTLE ROCK","Little Rock","3",""
"72211","LITTLE ROCK","Little Rock","3",""
"72212","LITTLE ROCK","Little Rock","3",""
"72214","LITTLE ROCK","Little Rock","3",""
"72215","LITTLE ROCK","Little Rock","3",""
"72216","LITTLE ROCK","Little Rock","3",""
"72217","LITTLE ROCK","Little Rock","3",""
"72219","LITTLE ROCK","Little Rock","3",""
"72221","LITTLE ROCK","Little Rock","3",""
"72222","LITTLE ROCK","Little Rock","3",""
"72223","LITTLE ROCK","Little Rock","3",""
"72225","LITTLE ROCK","Little Rock","3",""
"72227","LITTLE ROCK","Little Rock","3",""
"72231","LITTLE ROCK","Little Rock","3",""
"72255","LITTLE ROCK","Little Rock","3",""
"72260","LITTLE ROCK","Little Rock","3",""
"72295","LITTLE ROCK","Little Rock","3",""
