"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"40003","BAGDAD","Louisville","3",""
"40004","BARDSTOWN","Louisville","3",""
"40006","BEDFORD","Louisville","3",""
"40008","BLOOMFIELD","Louisville","3",""
"40010","BUCKNER","Louisville","3",""
"40012","CHAPLIN","Louisville","3",""
"40013","COXS CREEK","Louisville","3",""
"40014","CRESTWOOD","Louisville","3",""
"40018","EASTWOOD","Louisville","3",""
"40019","EMINENCE","Louisville","3",""
"40020","FAIRFIELD","Louisville","3",""
"40022","FINCHVILLE","Louisville","3",""
"40025","GLENVIEW","Louisville","3",""
"40026","GOSHEN","Louisville","3",""
"40027","HARRODS CREEK","Louisville","3",""
"40031","LA GRANGE","Louisville","3",""
"40032","LA GRANGE","Louisville","3",""
"40041","MASONIC HOME","Louisville","3",""
"40046","MOUNT EDEN","Louisville","3",""
"40047","MOUNT WASHINGTON","Louisville","3",""
"40048","NAZARETH","Louisville","3",""
"40050","NEW CASTLE","Louisville","3",""
"40051","NEW HAVEN","Louisville","3",""
"40055","PENDLETON","Louisville","3",""
"40056","PEWEE VALLEY","Louisville","3",""
"40058","PORT ROYAL","Louisville","3",""
"40059","PROSPECT","Louisville","3",""
"40065","SHELBYVILLE","Louisville","3",""
"40066","SHELBYVILLE","Louisville","3",""
"40067","SIMPSONVILLE","Louisville","3",""
"40068","SMITHFIELD","Louisville","3",""
"40070","SULPHUR","Louisville","3",""
"40071","TAYLORSVILLE","Louisville","3",""
"40076","WADDY","Louisville","3",""
"40077","WESTPORT","Louisville","3",""
"40107","BOSTON","Louisville","3",""
"40108","BRANDENBURG","Louisville","3",""
"40109","BROOKS","Louisville","3",""
"40110","CLERMONT","Louisville","3",""
"40117","EKRON","Louisville","3",""
"40118","FAIRDALE","Louisville","3",""
"40121","FORT KNOX","Louisville","3",""
"40122","FORT KNOX","Louisville","3",""
"40129","HILLVIEW","Louisville","3",""
"40150","LEBANON JUNCTION","Louisville","3",""
"40155","MULDRAUGH","Louisville","3",""
"40159","RADCLIFF","Louisville","3",""
"40160","RADCLIFF","Louisville","3",""
"40162","RINEYVILLE","Louisville","3",""
"40165","SHEPHERDSVILLE","Louisville","3",""
"40166","SHEPHERDSVILLE","Louisville","3",""
"40175","VINE GROVE","Louisville","3",""
"40177","WEST POINT","Louisville","3",""
"40201","LOUISVILLE","Louisville","3",""
"40202","LOUISVILLE","Louisville","3",""
"40203","LOUISVILLE","Louisville","3",""
"40204","LOUISVILLE","Louisville","3",""
"40205","LOUISVILLE","Louisville","3",""
"40206","LOUISVILLE","Louisville","3",""
"40207","LOUISVILLE","Louisville","3",""
"40208","LOUISVILLE","Louisville","3",""
"40209","LOUISVILLE","Louisville","3",""
"40210","LOUISVILLE","Louisville","3",""
"40211","LOUISVILLE","Louisville","3",""
"40212","LOUISVILLE","Louisville","3",""
"40213","LOUISVILLE","Louisville","3",""
"40214","LOUISVILLE","Louisville","3",""
"40215","LOUISVILLE","Louisville","3",""
"40216","LOUISVILLE","Louisville","3",""
"40217","LOUISVILLE","Louisville","3",""
"40218","LOUISVILLE","Louisville","3",""
