"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"37501","MEMPHIS","Memphis","3",""
"37544","MEMPHIS","Memphis","3",""
"38002","ARLINGTON","Memphis","3",""
"38004","ATOKA","Memphis","3",""
"38010","BRADEN","Memphis","3","T400"
"38011","BRIGHTON","Memphis","3","T200"
"38014","BRUNSWICK","Memphis","3",""
"38015","BURLISON","Memphis","3","T200"
"38016","CORDOVA","Memphis","3",""
"38017","COLLIERVILLE","Memphis","3",""
"38018","CORDOVA","Memphis","3",""
"38019","COVINGTON","Memphis","3","T200"
"38023","DRUMMONDS","Memphis","3","T200"
"38027","COLLIERVILLE","Memphis","3",""
"38028","EADS","Memphis","3",""
"38029","ELLENDALE","Memphis","3",""
"38036","GALLAWAY","Memphis","3","T400"
"38039","GRAND JUNCTION","Memphis","3","T200"
"38041","HENNING","Memphis","3","T200"
"38045","LACONIA","Memphis","3","T200"
"38046","LA GRANGE","Memphis","3","T200"
"38048","MACON","Memphis","3","T200"
"38049","MASON","Memphis","3","T200"
"38053","MILLINGTON","Memphis","3",""
"38054","MILLINGTON","Memphis","3",""
"38055","MILLINGTON","Memphis","3",""
"38056","","Memphis","3",""
"38057","MOSCOW","Memphis","3","T200"
"38058","MUNFORD","Memphis","3",""
"38060","OAKLAND","Memphis","3","T200"
"38063","RIPLEY","Memphis","3","T200"
"38066","ROSSVILLE","Memphis","3",""
"38068","SOMERVILLE","Memphis","3","T200"
"38069","STANTON","Memphis","3","T200"
"38071","TIPTON","Memphis","3","T400"
"38074","","Memphis","3","T200"
"38076","WILLISTON","Memphis","3","T400"
"38083","MILLINGTON","Memphis","3",""
"38088","CORDOVA","Memphis","3",""
"38101","MEMPHIS","Memphis","3",""
"38103","MEMPHIS","Memphis","3",""
"38104","MEMPHIS","Memphis","3",""
"38105","MEMPHIS","Memphis","3",""
"38106","MEMPHIS","Memphis","3",""
"38107","MEMPHIS","Memphis","3",""
"38108","MEMPHIS","Memphis","3",""
"38109","MEMPHIS","Memphis","3",""
"38110","","Memphis","3",""
"38111","MEMPHIS","Memphis","3",""
"38112","MEMPHIS","Memphis","3",""
"38113","MEMPHIS","Memphis","3",""
"38114","MEMPHIS","Memphis","3",""
"38115","MEMPHIS","Memphis","3",""
"38116","MEMPHIS","Memphis","3",""
"38117","MEMPHIS","Memphis","3",""
"38118","MEMPHIS","Memphis","3",""
"38119","MEMPHIS","Memphis","3",""
"38120","MEMPHIS","Memphis","3",""
"38122","MEMPHIS","Memphis","3",""
"38124","MEMPHIS","Memphis","3",""
"38125","MEMPHIS","Memphis","3",""
"38126","MEMPHIS","Memphis","3",""
"38127","MEMPHIS","Memphis","3",""
"38128","MEMPHIS","Memphis","3",""
"38129","","Memphis","3",""
"38130","MEMPHIS","Memphis","3",""
"38131","MEMPHIS","Memphis","3",""
"38132","MEMPHIS","Memphis","3",""
"38133","MEMPHIS","Memphis","3",""
"38134","MEMPHIS","Memphis","3",""
"38135","MEMPHIS","Memphis","3",""
"38136","MEMPHIS","Memphis","3",""
"38137","MEMPHIS","Memphis","3",""
"38138","GERMANTOWN","Memphis","3",""
