"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"32501","PENSACOLA","Mobile","3",""
"32502","PENSACOLA","Mobile","3",""
"32503","PENSACOLA","Mobile","3",""
"32504","PENSACOLA","Mobile","3",""
"32505","PENSACOLA","Mobile","3",""
"32506","PENSACOLA","Mobile","3",""
"32507","PENSACOLA","Mobile","3",""
"32508","PENSACOLA","Mobile","3",""
"32509","PENSACOLA","Mobile","3",""
"32511","PENSACOLA","Mobile","3",""
"32512","PENSACOLA","Mobile","3",""
"32513","PENSACOLA","Mobile","3",""
"32514","PENSACOLA","Mobile","3",""
"32516","PENSACOLA","Mobile","3",""
"32520","PENSACOLA","Mobile","3",""
"32521","PENSACOLA","Mobile","3",""
"32522","PENSACOLA","Mobile","3",""
"32523","PENSACOLA","Mobile","3",""
"32524","PENSACOLA","Mobile","3",""
"32526","PENSACOLA","Mobile","3",""
"32533","CANTONMENT","Mobile","3",""
"32534","PENSACOLA","Mobile","3",""
"32535","CENTURY","Mobile","3",""
"32559","PENSACOLA","Mobile","3",""
"32560","GONZALEZ","Mobile","3",""
"32561","GULF BREEZE","Mobile","3",""
"32562","GULF BREEZE","Mobile","3",""
"32568","MC DAVID","Mobile","3","T400"
"32577","MOLINO","Mobile","3","T400"
"32591","PENSACOLA","Mobile","3",""
"36432","CASTLEBERRY","Mobile","3",""
"36439","EXCEL","Mobile","3",""
"36441","FLOMATON","Mobile","3",""
"36445","FRISCO CITY","Mobile","3",""
"36449","URIAH","Mobile","3","T400"
"36454","LENOX","Mobile","3",""
"36460","MONROEVILLE","Mobile","3",""
"36470","PERDUE HILL","Mobile","3",""
"36473","RANGE","Mobile","3",""
"36475","REPTON","Mobile","3",""
"36480","URIAH","Mobile","3","T400"
"36502","ATMORE","Mobile","3",""
"36503","ATMORE","Mobile","3","T400"
"36504","ATMORE","Mobile","3","T400"
"36505","AXIS","Mobile","3",""
"36507","BAY MINETTE","Mobile","3",""
"36509","BAYOU LA BATRE","Mobile","3",""
"36511","BON SECOUR","Mobile","3",""
"36512","BUCKS","Mobile","3","T400"
"36513","CALVERT","Mobile","3","T400"
"36518","CHATOM","Mobile","3",""
"36521","CHUNCHULA","Mobile","3",""
"36522","CITRONELLE","Mobile","3",""
"36523","CODEN","Mobile","3",""
"36525","CREOLA","Mobile","3",""
"36526","DAPHNE","Mobile","3",""
"36527","DAPHNE","Mobile","3",""
"36528","DAUPHIN ISLAND","Mobile","3",""
"36529","DEER PARK","Mobile","3","T400"
"36530","ELBERTA","Mobile","3",""
"36532","FAIRHOPE","Mobile","3",""
"36533","FAIRHOPE","Mobile","3",""
"36535","FOLEY","Mobile","3",""
"36536","FOLEY","Mobile","3",""
"36538","FRANKVILLE","Mobile","3",""
"36539","FRUITDALE","Mobile","3","T400"
"36540","GAINESTOWN","Mobile","3","T400"
"36541","GRAND BAY","Mobile","3",""
"36542","GULF SHORES","Mobile","3",""
"36543","HUXFORD","Mobile","3",""
"36544","IRVINGTON","Mobile","3",""
"36545","JACKSON","Mobile","3","T400"
"36547","GULF SHORES","Mobile","3",""
"36548","LEROY","Mobile","3","T400"
"36549","LILLIAN","Mobile","3",""
"36550","LITTLE RIVER","Mobile","3",""
"36551","LOXLEY","Mobile","3",""
"36553","MC INTOSH","Mobile","3",""
"36555","MAGNOLIA SPRINGS","Mobile","3",""
"36556","MALCOLM","Mobile","3",""
"36558","MILLRY","Mobile","3",""
"36559","MONTROSE","Mobile","3",""
"36560","MOUNT VERNON","Mobile","3",""
"36561","ORANGE BEACH","Mobile","3",""
"36562","PERDIDO","Mobile","3",""
"36564","POINT CLEAR","Mobile","3",""
"36567","ROBERTSDALE","Mobile","3",""
"36568","SAINT ELMO","Mobile","3",""
"36569","SAINT STEPHENS","Mobile","3",""
"36571","SARALAND","Mobile","3",""
"36572","SATSUMA","Mobile","3",""
"36574","SEMINOLE","Mobile","3",""
"36575","SEMMES","Mobile","3",""
"36576","SILVERHILL","Mobile","3",""
"36577","SPANISH FORT","Mobile","3",""
"36578","STAPLETON","Mobile","3",""
"36579","STOCKTON","Mobile","3",""
"36580","SUMMERDALE","Mobile","3",""
"36581","SUNFLOWER","Mobile","3","T400"
"36582","THEODORE","Mobile","3",""
"36583","TIBBIE","Mobile","3","T400"
"36584","VINEGAR BEND","Mobile","3","T400"
"36585","WAGARVILLE","Mobile","3","T400"
"36587","WILMER","Mobile","3",""
"36590","THEODORE","Mobile","3",""
"36601","MOBILE","Mobile","3",""
"36602","MOBILE","Mobile","3",""
"36603","MOBILE","Mobile","3",""
"36604","MOBILE","Mobile","3",""
"36605","MOBILE","Mobile","3",""
"36606","MOBILE","Mobile","3",""
"36607","MOBILE","Mobile","3",""
"36608","MOBILE","Mobile","3",""
"36609","MOBILE","Mobile","3",""
"36610","MOBILE","Mobile","3",""
"36611","MOBILE","Mobile","3",""
"36612","MOBILE","Mobile","3",""
"36613","EIGHT MILE","Mobile","3",""
"36615","MOBILE","Mobile","3",""
"36616","MOBILE","Mobile","3",""
"36617","MOBILE","Mobile","3",""
"36618","MOBILE","Mobile","3",""
"36619","MOBILE","Mobile","3",""
"36628","MOBILE","Mobile","3",""
"36633","MOBILE","Mobile","3",""
"36640","MOBILE","Mobile","3",""
"36641","MOBILE","Mobile","3",""
"36644","MOBILE","Mobile","3",""
"36652","MOBILE","Mobile","3",""
"36660","MOBILE","Mobile","3",""
"36663","MOBILE","Mobile","3",""
"36670","MOBILE","Mobile","3",""
"36671","MOBILE","Mobile","3",""
"36675","MOBILE","Mobile","3",""
"36685","MOBILE","Mobile","3",""
"36688","MOBILE","Mobile","3",""
"36689","MOBILE","Mobile","3",""
"36691","MOBILE","Mobile","3",""
"36693","MOBILE","Mobile","3",""
"36695","MOBILE","Mobile","3",""
"39322","BUCKATUNNA","Mobile","3",""
"39324","CLARA","Mobile","3",""
"39362","STATE LINE","Mobile","3",""
"39367","WAYNESBORO","Mobile","3",""
"39407","HATTIESBURG","Mobile","3","T400"
"39423","BEAUMONT","Mobile","3",""
"39425","BROOKLYN","Mobile","3",""
"39451","LEAKESVILLE","Mobile","3","T400"
"39452","LUCEDALE","Mobile","3",""
"39455","LUMBERTON","Mobile","3",""
"39456","MC LAIN","Mobile","3",""
"39461","NEELY","Mobile","3","T400"
"39462","NEW AUGUSTA","Mobile","3","T400"
"39464","OVETT","Mobile","3",""
"39475","PURVIS","Mobile","3",""
"39476","RICHTON","Mobile","3",""
"39501","GULFPORT","Mobile","3",""
"39502","GULFPORT","Mobile","3",""
"39503","GULFPORT","Mobile","3",""
"39505","GULFPORT","Mobile","3",""
"39506","GULFPORT","Mobile","3",""
"39507","GULFPORT","Mobile","3",""
"39521","BAY SAINT LOUIS","Mobile","3",""
"39522","STENNIS SPACE CENTER","Mobile","3",""
"39525","DIAMONDHEAD","Mobile","3",""
"39530","BILOXI","Mobile","3",""
"39531","BILOXI","Mobile","3",""
"39532","BILOXI","Mobile","3",""
"39533","BILOXI","Mobile","3",""
"39534","BILOXI","Mobile","3",""
"39535","BILOXI","Mobile","3",""
"39540","DIBERVILLE","Mobile","3",""
"39552","ESCATAWPA","Mobile","3",""
"39553","GAUTIER","Mobile","3",""
"39555","HURLEY","Mobile","3",""
"39560","LONG BEACH","Mobile","3",""
"39561","MC HENRY","Mobile","3",""
"39562","MOSS POINT","Mobile","3",""
"39563","MOSS POINT","Mobile","3",""
"39564","OCEAN SPRINGS","Mobile","3",""
"39565","VANCLEAVE","Mobile","3",""
"39566","OCEAN SPRINGS","Mobile","3",""
"39567","PASCAGOULA","Mobile","3",""
"39568","PASCAGOULA","Mobile","3",""
"39569","PASCAGOULA","Mobile","3",""
"39571","PASS CHRISTIAN","Mobile","3",""
"39573","PERKINSTON","Mobile","3",""
"39574","SAUCIER","Mobile","3",""
"39577","WIGGINS","Mobile","3",""
"39581","PASCAGOULA","Mobile","3",""
"39595","PASCAGOULA","Mobile","3",""
