"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"35010","ALEXANDER CITY","Montgomery","3",""
"35011","ALEXANDER CITY","Montgomery","3",""
"35089","KELLYTON","Montgomery","3",""
"35136","ROCKFORD","Montgomery","3",""
"36003","AUTAUGAVILLE","Montgomery","3",""
"36006","BILLINGSLEY","Montgomery","3",""
"36008","BOOTH","Montgomery","3",""
"36013","CECIL","Montgomery","3",""
"36020","COOSADA","Montgomery","3",""
"36022","DEATSVILLE","Montgomery","3",""
"36023","EAST TALLASSEE","Montgomery","3",""
"36024","ECLECTIC","Montgomery","3",""
"36025","ELMORE","Montgomery","3",""
"36026","EQUALITY","Montgomery","3",""
"36029","FITZPATRICK","Montgomery","3",""
"36031","FORT DAVIS","Montgomery","3",""
"36036","GRADY","Montgomery","3",""
"36039","HARDAWAY","Montgomery","3",""
"36040","HAYNEVILLE","Montgomery","3",""
"36041","HIGHLAND HOME","Montgomery","3",""
"36043","HOPE HULL","Montgomery","3",""
"36045","KENT","Montgomery","3",""
"36046","LAPINE","Montgomery","3",""
"36047","LETOHATCHEE","Montgomery","3",""
"36051","MARBURY","Montgomery","3",""
"36052","MATHEWS","Montgomery","3",""
"36054","MILLBROOK","Montgomery","3",""
"36057","MOUNT MEIGS","Montgomery","3",""
"36064","PIKE ROAD","Montgomery","3",""
"36065","PINE LEVEL","Montgomery","3",""
"36066","PRATTVILLE","Montgomery","3",""
"36067","PRATTVILLE","Montgomery","3",""
"36068","PRATTVILLE","Montgomery","3",""
"36069","RAMER","Montgomery","3",""
"36075","SHORTER","Montgomery","3",""
"36078","TALLASSEE","Montgomery","3",""
"36079","TROY","Montgomery","3",""
"36080","TITUS","Montgomery","3",""
"36081","TROY","Montgomery","3",""
"36083","TUSKEGEE","Montgomery","3",""
"36087","TUSKEGEE INSTITUTE","Montgomery","3",""
"36088","TUSKEGEE INSTITUTE","Montgomery","3",""
"36091","VERBENA","Montgomery","3",""
"36092","WETUMPKA","Montgomery","3",""
"36093","WETUMPKA","Montgomery","3",""
"36101","MONTGOMERY","Montgomery","3",""
"36102","MONTGOMERY","Montgomery","3",""
"36103","MONTGOMERY","Montgomery","3",""
"36104","MONTGOMERY","Montgomery","3",""
"36105","MONTGOMERY","Montgomery","3",""
"36106","MONTGOMERY","Montgomery","3",""
"36107","MONTGOMERY","Montgomery","3",""
"36108","MONTGOMERY","Montgomery","3",""
"36109","MONTGOMERY","Montgomery","3",""
"36110","MONTGOMERY","Montgomery","3",""
"36111","MONTGOMERY","Montgomery","3",""
"36112","MONTGOMERY","Montgomery","3",""
"36113","MONTGOMERY","Montgomery","3",""
"36114","MONTGOMERY","Montgomery","3",""
"36115","MONTGOMERY","Montgomery","3",""
"36116","MONTGOMERY","Montgomery","3",""
"36117","MONTGOMERY","Montgomery","3",""
"36118","MONTGOMERY","Montgomery","3",""
"36119","MONTGOMERY","Montgomery","3",""
"36120","MONTGOMERY","Montgomery","3",""
"36121","MONTGOMERY","Montgomery","3",""
"36123","MONTGOMERY","Montgomery","3",""
"36124","MONTGOMERY","Montgomery","3",""
"36125","MONTGOMERY","Montgomery","3",""
"36130","MONTGOMERY","Montgomery","3",""
"36131","MONTGOMERY","Montgomery","3",""
"36132","MONTGOMERY","Montgomery","3",""
"36135","MONTGOMERY","Montgomery","3",""
"36140","MONTGOMERY","Montgomery","3",""
"36141","MONTGOMERY","Montgomery","3",""
"36142","MONTGOMERY","Montgomery","3",""
"36177","MONTGOMERY","Montgomery","3",""
"36191","MONTGOMERY","Montgomery","3",""
"36701","SELMA","Montgomery","3",""
"36702","SELMA","Montgomery","3",""
"36703","SELMA","Montgomery","3",""
"36749","JONES","Montgomery","3",""
"36752","LOWNDESBORO","Montgomery","3",""
"36785","TYLER","Montgomery","3",""
"36832","AUBURN","Montgomery","3",""
"36850","CAMP HILL","Montgomery","3",""
"36853","DADEVILLE","Montgomery","3",""
"36861","JACKSONS GAP","Montgomery","3",""
"36865","LOACHAPOKA","Montgomery","3",""
"36866","NOTASULGA","Montgomery","3",""
"36879","WAVERLY","Montgomery","3",""
