"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"37010","ADAMS","Nashville","3",""
"37012","ALEXANDRIA","Nashville","3",""
"37013","ANTIOCH","Nashville","3",""
"37014","ARRINGTON","Nashville","3",""
"37015","ASHLAND CITY","Nashville","3",""
"37016","AUBURNTOWN","Nashville","3",""
"37018","BEECHGROVE","Nashville","3",""
"37020","BELL BUCKLE","Nashville","3",""
"37022","BETHPAGE","Nashville","3",""
"37025","BON AQUA","Nashville","3",""
"37026","BRADYVILLE","Nashville","3",""
"37027","BRENTWOOD","Nashville","3",""
"37029","BURNS","Nashville","3",""
"37030","CARTHAGE","Nashville","3",""
"37031","CASTALIAN SPRINGS","Nashville","3",""
"37032","CEDAR HILL","Nashville","3",""
"37033","CENTERVILLE","Nashville","3",""
"37034","CHAPEL HILL","Nashville","3",""
"37035","CHAPMANSBORO","Nashville","3",""
"37036","CHARLOTTE","Nashville","3",""
"37037","CHRISTIANA","Nashville","3",""
"37040","CLARKSVILLE","Nashville","3",""
"37042","CLARKSVILLE","Nashville","3",""
"37043","CLARKSVILLE","Nashville","3",""
"37046","COLLEGE GROVE","Nashville","3",""
"37048","COTTONTOWN","Nashville","3",""
"37049","CROSS PLAINS","Nashville","3",""
"37050","CUMBERLAND CITY","Nashville","3",""
"37051","CUMBERLAND FURNACE","Nashville","3",""
"37052","CUNNINGHAM","Nashville","3",""
"37055","DICKSON","Nashville","3",""
"37057","DIXON SPRINGS","Nashville","3",""
"37059","DOWELLTOWN","Nashville","3",""
"37060","EAGLEVILLE","Nashville","3",""
"37061","ERIN","Nashville","3",""
"37062","FAIRVIEW","Nashville","3",""
"37064","FRANKLIN","Nashville","3",""
"37066","GALLATIN","Nashville","3",""
"37067","FRANKLIN","Nashville","3",""
"37069","FRANKLIN","Nashville","3",""
"37071","GLADEVILLE","Nashville","3",""
"37072","GOODLETTSVILLE","Nashville","3",""
"37073","GREENBRIER","Nashville","3",""
"37074","HARTSVILLE","Nashville","3",""
"37075","HENDERSONVILLE","Nashville","3",""
"37076","HERMITAGE","Nashville","3",""
"37078","HURRICANE MILLS","Nashville","3",""
"37079","INDIAN MOUND","Nashville","3",""
"37080","JOELTON","Nashville","3",""
"37082","KINGSTON SPRINGS","Nashville","3",""
"37083","LAFAYETTE","Nashville","3",""
"37085","LASCASSAS","Nashville","3",""
"37086","LA VERGNE","Nashville","3",""
"37087","LEBANON","Nashville","3",""
"37090","LEBANON","Nashville","3",""
"37091","LEWISBURG","Nashville","3",""
"37095","LIBERTY","Nashville","3",""
"37098","LYLES","Nashville","3",""
"37101","MC EWEN","Nashville","3",""
"37110","MCMINNVILLE","Nashville","3",""
"37111","MCMINNVILLE","Nashville","3",""
"37115","MADISON","Nashville","3",""
"37118","MILTON","Nashville","3",""
"37122","MOUNT JULIET","Nashville","3",""
"37127","MURFREESBORO","Nashville","3",""
"37128","MURFREESBORO","Nashville","3",""
"37129","MURFREESBORO","Nashville","3",""
"37130","MURFREESBORO","Nashville","3",""
"37132","MURFREESBORO","Nashville","3",""
"37135","NOLENSVILLE","Nashville","3",""
"37137","NUNNELLY","Nashville","3",""
"37138","OLD HICKORY","Nashville","3",""
"37140","ONLY","Nashville","3",""
"37141","ORLINDA","Nashville","3",""
"37142","PALMYRA","Nashville","3",""
"37143","PEGRAM","Nashville","3",""
"37145","PLEASANT SHADE","Nashville","3",""
"37146","PLEASANT VIEW","Nashville","3",""
"37148","PORTLAND","Nashville","3",""
"37149","READYVILLE","Nashville","3",""
"37150","RED BOILING SPRINGS","Nashville","3",""
"37151","RIDDLETON","Nashville","3",""
"37153","ROCKVALE","Nashville","3",""
"37160","SHELBYVILLE","Nashville","3",""
"37161","SHELBYVILLE","Nashville","3",""
"37162","SHELBYVILLE","Nashville","3",""
"37166","SMITHVILLE","Nashville","3",""
"37167","SMYRNA","Nashville","3",""
"37171","SOUTHSIDE","Nashville","3",""
"37172","SPRINGFIELD","Nashville","3",""
"37174","SPRING HILL","Nashville","3",""
"37179","THOMPSONS STATION","Nashville","3",""
"37180","UNIONVILLE","Nashville","3",""
"37181","VANLEER","Nashville","3",""
"37183","WARTRACE","Nashville","3",""
"37184","WATERTOWN","Nashville","3",""
"37186","WESTMORELAND","Nashville","3",""
"37187","WHITE BLUFF","Nashville","3",""
"37188","WHITE HOUSE","Nashville","3",""
"37189","WHITES CREEK","Nashville","3",""
"37190","WOODBURY","Nashville","3",""
"37191","WOODLAWN","Nashville","3",""
"37201","NASHVILLE","Nashville","3",""
"37203","NASHVILLE","Nashville","3",""
"37204","NASHVILLE","Nashville","3",""
"37205","NASHVILLE","Nashville","3",""
"37206","NASHVILLE","Nashville","3",""
"37207","NASHVILLE","Nashville","3",""
"37208","NASHVILLE","Nashville","3",""
"37209","NASHVILLE","Nashville","3",""
"37210","NASHVILLE","Nashville","3",""
"37211","NASHVILLE","Nashville","3",""
"37212","NASHVILLE","Nashville","3",""
"37213","NASHVILLE","Nashville","3",""
"37214","NASHVILLE","Nashville","3",""
"37215","NASHVILLE","Nashville","3",""
"37216","NASHVILLE","Nashville","3",""
"37217","NASHVILLE","Nashville","3",""
"37218","NASHVILLE","Nashville","3",""
"37219","NASHVILLE","Nashville","3",""
"37220","NASHVILLE","Nashville","3",""
"37221","NASHVILLE","Nashville","3",""
"37228","NASHVILLE","Nashville","3",""
"37232","NASHVILLE","Nashville","3",""
"37236","NASHVILLE","Nashville","3",""
"37239","","Nashville","3",""
"37240","NASHVILLE","Nashville","3",""
"37342","HILLSBORO","Nashville","3",""
"37349","MANCHESTER","Nashville","3",""
"37355","MANCHESTER","Nashville","3",""
"37357","MORRISON","Nashville","3",""
"37360","NORMANDY","Nashville","3",""
"37378","SMARTT","Nashville","3",""
"37382","SUMMITVILLE","Nashville","3",""
"37394","VIOLA","Nashville","3",""
"38401","COLUMBIA","Nashville","3",""
"38402","COLUMBIA","Nashville","3",""
"38451","CULLEOKA","Nashville","3",""
"38453","DELLROSE","Nashville","3",""
"38454","DUCK RIVER","Nashville","3",""
"38461","HAMPSHIRE","Nashville","3",""
"38462","HOHENWALD","Nashville","3",""
"38474","MOUNT PLEASANT","Nashville","3",""
"38476","PRIMM SPRINGS","Nashville","3",""
"38482","SANTA FE","Nashville","3",""
"38483","SUMMERTOWN","Nashville","3",""
"38487","WILLIAMSPORT","Nashville","3",""
"38501","COOKEVILLE","Nashville","3",""
"38502","COOKEVILLE","Nashville","3",""
"38503","COOKEVILLE","Nashville","3",""
"38505","COOKEVILLE","Nashville","3",""
"38506","COOKEVILLE","Nashville","3",""
"38544","BAXTER","Nashville","3",""
"38545","BLOOMINGTON SPRINGS","Nashville","3",""
"38547","BRUSH CREEK","Nashville","3",""
"38548","BUFFALO VALLEY","Nashville","3",""
"38550","CAMPAIGN","Nashville","3",""
