"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"39426","CARRIERE","New Orleans","3",""
"39457","MC NEILL","New Orleans","3",""
"39463","NICHOLSON","New Orleans","3",""
"39466","PICAYUNE","New Orleans","3",""
"39470","POPLARVILLE","New Orleans","3",""
"39478","SANDY HOOK","New Orleans","3",""
"39483","FOXWORTH","New Orleans","3",""
"39520","BAY SAINT LOUIS","New Orleans","3",""
"39529","STENNIS SPACE CENTER","New Orleans","3",""
"39556","KILN","New Orleans","3",""
"39558","LAKESHORE","New Orleans","3",""
"39572","PEARLINGTON","New Orleans","3",""
"39576","WAVELAND","New Orleans","3",""
"39657","OSYKA","New Orleans","3",""
"70001","METAIRIE","New Orleans","3",""
"70002","METAIRIE","New Orleans","3",""
"70003","METAIRIE","New Orleans","3",""
"70004","METAIRIE","New Orleans","3",""
"70005","METAIRIE","New Orleans","3",""
"70006","METAIRIE","New Orleans","3",""
"70009","METAIRIE","New Orleans","3",""
"70010","METAIRIE","New Orleans","3",""
"70011","METAIRIE","New Orleans","3",""
"70030","DES ALLEMANDS","New Orleans","3",""
"70031","AMA","New Orleans","3",""
"70032","ARABI","New Orleans","3",""
"70033","METAIRIE","New Orleans","3",""
"70036","BARATARIA","New Orleans","3",""
"70037","BELLE CHASSE","New Orleans","3",""
"70039","BOUTTE","New Orleans","3",""
"70040","BRAITHWAITE","New Orleans","3",""
"70043","CHALMETTE","New Orleans","3",""
"70044","CHALMETTE","New Orleans","3",""
"70047","DESTREHAN","New Orleans","3",""
"70049","EDGARD","New Orleans","3",""
"70051","GARYVILLE","New Orleans","3",""
"70052","GRAMERCY","New Orleans","3",""
"70053","GRETNA","New Orleans","3",""
"70054","GRETNA","New Orleans","3",""
"70055","METAIRIE","New Orleans","3",""
"70056","GRETNA","New Orleans","3",""
"70057","HAHNVILLE","New Orleans","3",""
"70058","HARVEY","New Orleans","3",""
"70059","HARVEY","New Orleans","3",""
"70060","METAIRIE","New Orleans","3",""
"70062","KENNER","New Orleans","3",""
"70063","KENNER","New Orleans","3",""
"70064","KENNER","New Orleans","3",""
"70065","KENNER","New Orleans","3",""
"70067","LAFITTE","New Orleans","3",""
"70068","LA PLACE","New Orleans","3",""
"70069","LA PLACE","New Orleans","3",""
"70070","LULING","New Orleans","3",""
"70071","LUTCHER","New Orleans","3",""
"70072","MARRERO","New Orleans","3",""
"70073","MARRERO","New Orleans","3",""
"70075","MERAUX","New Orleans","3",""
"70076","MOUNT AIRY","New Orleans","3",""
"70078","NEW SARPY","New Orleans","3",""
"70079","NORCO","New Orleans","3",""
"70080","PARADIS","New Orleans","3",""
"70084","RESERVE","New Orleans","3",""
"70085","SAINT BERNARD","New Orleans","3",""
"70086","SAINT JAMES","New Orleans","3",""
"70087","SAINT ROSE","New Orleans","3",""
"70090","VACHERIE","New Orleans","3",""
"70092","VIOLET","New Orleans","3",""
"70093","BELLE CHASSE","New Orleans","3",""
"70094","WESTWEGO","New Orleans","3",""
"70096","WESTWEGO","New Orleans","3",""
"70097","KENNER","New Orleans","3",""
"70112","NEW ORLEANS","New Orleans","3",""
"70113","NEW ORLEANS","New Orleans","3",""
"70114","NEW ORLEANS","New Orleans","3",""
"70115","NEW ORLEANS","New Orleans","3",""
"70116","NEW ORLEANS","New Orleans","3",""
"70117","NEW ORLEANS","New Orleans","3",""
"70118","NEW ORLEANS","New Orleans","3",""
"70119","NEW ORLEANS","New Orleans","3",""
"70121","NEW ORLEANS","New Orleans","3",""
"70122","NEW ORLEANS","New Orleans","3",""
"70123","NEW ORLEANS","New Orleans","3",""
"70124","NEW ORLEANS","New Orleans","3",""
"70125","NEW ORLEANS","New Orleans","3",""
"70126","NEW ORLEANS","New Orleans","3",""
"70127","NEW ORLEANS","New Orleans","3",""
"70128","NEW ORLEANS","New Orleans","3",""
"70129","NEW ORLEANS","New Orleans","3",""
"70130","NEW ORLEANS","New Orleans","3",""
"70131","NEW ORLEANS","New Orleans","3",""
"70139","NEW ORLEANS","New Orleans","3",""
