"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"23001","ACHILLES","Norfolk","3",""
"23003","ARK","Norfolk","3",""
"23018","BENA","Norfolk","3",""
"23021","BOHANNON","Norfolk","3",""
"23025","CARDINAL","Norfolk","3",""
"23045","DIGGS","Norfolk","3",""
"23050","DUTTON","Norfolk","3",""
"23056","FOSTER","Norfolk","3",""
"23061","GLOUCESTER","Norfolk","3",""
"23062","GLOUCESTER POINT","Norfolk","3",""
"23064","GRIMSTEAD","Norfolk","3",""
"23066","GWYNN","Norfolk","3",""
"23068","HALLIEFORD","Norfolk","3",""
"23072","HAYES","Norfolk","3",""
"23076","HUDGINS","Norfolk","3",""
"23081","JAMESTOWN","Norfolk","3",""
"23090","LIGHTFOOT","Norfolk","3",""
"23107","MARYUS","Norfolk","3",""
"23109","MATHEWS","Norfolk","3",""
"23119","MOON","Norfolk","3",""
"23125","NEW POINT","Norfolk","3",""
"23128","NORTH","Norfolk","3",""
"23130","ONEMO","Norfolk","3",""
"23131","ORDINARY","Norfolk","3",""
"23138","PORT HAYWOOD","Norfolk","3",""
"23154","SCHLEY","Norfolk","3",""
"23155","SEVERN","Norfolk","3",""
"23163","SUSAN","Norfolk","3",""
"23178","WARE NECK","Norfolk","3",""
"23183","WHITE MARSH","Norfolk","3",""
"23184","WICOMICO","Norfolk","3",""
"23185","WILLIAMSBURG","Norfolk","3",""
"23186","WILLIAMSBURG","Norfolk","3",""
"23187","WILLIAMSBURG","Norfolk","3",""
"23188","WILLIAMSBURG","Norfolk","3",""
"23304","BATTERY PARK","Norfolk","3",""
"23314","CARROLLTON","Norfolk","3",""
"23315","CARRSVILLE","Norfolk","3",""
"23320","CHESAPEAKE","Norfolk","3",""
"23321","CHESAPEAKE","Norfolk","3",""
"23322","CHESAPEAKE","Norfolk","3",""
"23323","CHESAPEAKE","Norfolk","3",""
"23324","CHESAPEAKE","Norfolk","3",""
"23325","CHESAPEAKE","Norfolk","3",""
"23326","CHESAPEAKE","Norfolk","3",""
"23327","CHESAPEAKE","Norfolk","3",""
"23328","CHESAPEAKE","Norfolk","3",""
"23397","ISLE OF WIGHT","Norfolk","3",""
"23424","RESCUE","Norfolk","3",""
"23430","SMITHFIELD","Norfolk","3",""
"23431","SMITHFIELD","Norfolk","3",""
"23432","SUFFOLK","Norfolk","3",""
"23433","SUFFOLK","Norfolk","3",""
"23434","SUFFOLK","Norfolk","3",""
"23435","SUFFOLK","Norfolk","3",""
"23436","SUFFOLK","Norfolk","3",""
"23437","SUFFOLK","Norfolk","3",""
"23438","SUFFOLK","Norfolk","3",""
"23439","SUFFOLK","Norfolk","3",""
"23450","VIRGINIA BEACH","Norfolk","3",""
"23451","VIRGINIA BEACH","Norfolk","3",""
"23452","VIRGINIA BEACH","Norfolk","3",""
"23453","VIRGINIA BEACH","Norfolk","3",""
"23454","VIRGINIA BEACH","Norfolk","3",""
"23455","VIRGINIA BEACH","Norfolk","3",""
"23456","VIRGINIA BEACH","Norfolk","3",""
"23457","VIRGINIA BEACH","Norfolk","3",""
