"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"27202","ALTAMAHAW","Raleigh","3",""
"27207","BEAR CREEK","Raleigh","3",""
"27214","BROWNS SUMMIT","Raleigh","3",""
"27215","BURLINGTON","Raleigh","3",""
"27216","BURLINGTON","Raleigh","3",""
"27217","BURLINGTON","Raleigh","3",""
"27228","BYNUM","Raleigh","3",""
"27231","CEDAR GROVE","Raleigh","3",""
"27233","CLIMAX","Raleigh","3",""
"27237","CUMNOCK","Raleigh","3",""
"27243","EFLAND","Raleigh","3",""
"27244","ELON","Raleigh","3",""
"27249","GIBSONVILLE","Raleigh","3",""
"27252","GOLDSTON","Raleigh","3",""
"27253","GRAHAM","Raleigh","3",""
"27256","GULF","Raleigh","3",""
"27258","HAW RIVER","Raleigh","3",""
"27278","HILLSBOROUGH","Raleigh","3",""
"27283","JULIAN","Raleigh","3",""
"27298","LIBERTY","Raleigh","3",""
"27301","MC LEANSVILLE","Raleigh","3",""
"27302","MEBANE","Raleigh","3",""
"27312","PITTSBORO","Raleigh","3",""
"27313","PLEASANT GARDEN","Raleigh","3",""
"27314","PROSPECT HILL","Raleigh","3",""
"27317","RANDLEMAN","Raleigh","3",""
"27330","SANFORD","Raleigh","3",""
"27331","SANFORD","Raleigh","3",""
"27332","SANFORD","Raleigh","3",""
"27340","SAXAPAHAW","Raleigh","3",""
"27342","SEDALIA","Raleigh","3",""
"27344","SILER CITY","Raleigh","3",""
"27349","SNOW CAMP","Raleigh","3",""
"27355","STALEY","Raleigh","3",""
"27359","SWEPSONVILLE","Raleigh","3",""
"27377","WHITSETT","Raleigh","3",""
"27379","YANCEYVILLE","Raleigh","3",""
"27401","GREENSBORO","Raleigh","3",""
"27402","GREENSBORO","Raleigh","3",""
"27403","GREENSBORO","Raleigh","3",""
"27404","GREENSBORO","Raleigh","3",""
"27405","GREENSBORO","Raleigh","3",""
"27406","GREENSBORO","Raleigh","3",""
"27407","GREENSBORO","Raleigh","3",""
"27408","GREENSBORO","Raleigh","3",""
"27410","GREENSBORO","Raleigh","3",""
"27411","GREENSBORO","Raleigh","3",""
"27412","GREENSBORO","Raleigh","3",""
"27413","GREENSBORO","Raleigh","3",""
"27415","GREENSBORO","Raleigh","3",""
"27416","GREENSBORO","Raleigh","3",""
"27417","GREENSBORO","Raleigh","3",""
"27419","GREENSBORO","Raleigh","3",""
"27420","GREENSBORO","Raleigh","3",""
"27425","GREENSBORO","Raleigh","3",""
"27427","GREENSBORO","Raleigh","3",""
"27429","GREENSBORO","Raleigh","3",""
"27435","GREENSBORO","Raleigh","3",""
"27438","GREENSBORO","Raleigh","3",""
"27455","GREENSBORO","Raleigh","3",""
"27495","GREENSBORO","Raleigh","3",""
"27498","GREENSBORO","Raleigh","3",""
"27499","GREENSBORO","Raleigh","3",""
"27501","ANGIER","Raleigh","3",""
"27502","APEX","Raleigh","3",""
"27503","BAHAMA","Raleigh","3",""
"27504","BENSON","Raleigh","3",""
"27505","BROADWAY","Raleigh","3",""
"27506","BUIES CREEK","Raleigh","3",""
"27508","BUNN","Raleigh","3",""
"27509","BUTNER","Raleigh","3",""
"27510","CARRBORO","Raleigh","3",""
"27511","CARY","Raleigh","3",""
"27512","CARY","Raleigh","3",""
"27513","CARY","Raleigh","3",""
"27514","CHAPEL HILL","Raleigh","3",""
"27515","CHAPEL HILL","Raleigh","3",""
"27516","CHAPEL HILL","Raleigh","3",""
"27517","CHAPEL HILL","Raleigh","3",""
"27518","CARY","Raleigh","3",""
"27519","CARY","Raleigh","3",""
"27520","CLAYTON","Raleigh","3",""
"27521","COATS","Raleigh","3",""
"27522","CREEDMOOR","Raleigh","3",""
"27523","APEX","Raleigh","3",""
"27524","FOUR OAKS","Raleigh","3",""
"27525","FRANKLINTON","Raleigh","3",""
"27526","FUQUAY VARINA","Raleigh","3",""
"27527","CLAYTON","Raleigh","3",""
"27528","CLAYTON","Raleigh","3",""
"27529","GARNER","Raleigh","3",""
"27530","GOLDSBORO","Raleigh","3",""
"27532","GOLDSBORO","Raleigh","3",""
"27533","GOLDSBORO","Raleigh","3",""
"27534","GOLDSBORO","Raleigh","3",""
"27539","APEX","Raleigh","3",""
"27540","HOLLY SPRINGS","Raleigh","3",""
"27541","HURDLE MILLS","Raleigh","3",""
"27542","KENLY","Raleigh","3",""
"27543","KIPLING","Raleigh","3",""
"27544","KITTRELL","Raleigh","3",""
"27545","KNIGHTDALE","Raleigh","3",""
"27546","LILLINGTON","Raleigh","3",""
"27549","LOUISBURG","Raleigh","3",""
"27552","MAMERS","Raleigh","3",""
"27555","MICRO","Raleigh","3",""
"27557","MIDDLESEX","Raleigh","3",""
"27559","MONCURE","Raleigh","3",""
"27560","MORRISVILLE","Raleigh","3",""
