"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"22514","MILFORD","Richmond","3",""
"22546","RUTHER GLEN","Richmond","3",""
"22560","TAPPAHANNOCK","Richmond","3",""
"22942","GORDONSVILLE","Richmond","3",""
"23005","ASHLAND","Richmond","3",""
"23009","AYLETT","Richmond","3",""
"23014","BEAUMONT","Richmond","3",""
"23015","BEAVERDAM","Richmond","3",""
"23023","BRUINGTON","Richmond","3",""
"23030","CHARLES CITY","Richmond","3",""
"23039","CROZIER","Richmond","3",""
"23047","DOSWELL","Richmond","3",""
"23058","GLEN ALLEN","Richmond","3",""
"23059","GLEN ALLEN","Richmond","3",""
"23060","GLEN ALLEN","Richmond","3",""
"23069","HANOVER","Richmond","3",""
"23075","HENRICO","Richmond","3",""
"23086","KING WILLIAM","Richmond","3",""
"23089","LANEXA","Richmond","3",""
"23102","MAIDENS","Richmond","3",""
"23103","MANAKIN SABOT","Richmond","3",""
"23105","MANNBORO","Richmond","3",""
"23106","MANQUIN","Richmond","3",""
"23111","MECHANICSVILLE","Richmond","3",""
"23112","MIDLOTHIAN","Richmond","3",""
"23113","MIDLOTHIAN","Richmond","3",""
"23114","MIDLOTHIAN","Richmond","3",""
"23116","MECHANICSVILLE","Richmond","3",""
"23120","MOSELEY","Richmond","3",""
"23124","NEW KENT","Richmond","3",""
"23126","NEWTOWN","Richmond","3",""
"23129","OILVILLE","Richmond","3",""
"23139","POWHATAN","Richmond","3",""
"23140","PROVIDENCE FORGE","Richmond","3",""
"23141","QUINTON","Richmond","3",""
"23146","ROCKVILLE","Richmond","3",""
"23147","RUTHVILLE","Richmond","3",""
"23148","SAINT STEPHENS CHURCH","Richmond","3",""
"23150","SANDSTON","Richmond","3",""
"23160","STATE FARM","Richmond","3",""
"23161","STEVENSVILLE","Richmond","3",""
"23162","STUDLEY","Richmond","3",""
"23173","RICHMOND","Richmond","3",""
"23177","WALKERTON","Richmond","3",""
"23181","WEST POINT","Richmond","3",""
"23192","MONTPELIER","Richmond","3",""
"23218","RICHMOND","Richmond","3",""
"23219","RICHMOND","Richmond","3",""
"23220","RICHMOND","Richmond","3",""
"23221","RICHMOND","Richmond","3",""
"23222","RICHMOND","Richmond","3",""
"23223","RICHMOND","Richmond","3",""
"23224","RICHMOND","Richmond","3",""
"23225","RICHMOND","Richmond","3",""
"23226","RICHMOND","Richmond","3",""
"23227","RICHMOND","Richmond","3",""
"23228","HENRICO","Richmond","3",""
"23229","HENRICO","Richmond","3",""
"23230","RICHMOND","Richmond","3",""
"23231","HENRICO","Richmond","3",""
"23232","RICHMOND","Richmond","3",""
"23233","HENRICO","Richmond","3",""
"23234","RICHMOND","Richmond","3",""
"23235","RICHMOND","Richmond","3",""
"23236","RICHMOND","Richmond","3",""
"23237","RICHMOND","Richmond","3",""
"23238","HENRICO","Richmond","3",""
"23241","RICHMOND","Richmond","3",""
"23242","HENRICO","Richmond","3",""
"23249","RICHMOND","Richmond","3",""
"23250","RICHMOND","Richmond","3",""
"23255","HENRICO","Richmond","3",""
"23260","RICHMOND","Richmond","3",""
"23261","RICHMOND","Richmond","3",""
"23269","RICHMOND","Richmond","3",""
"23273","HENRICO","Richmond","3",""
"23274","RICHMOND","Richmond","3",""
"23276","RICHMOND","Richmond","3",""
"23278","RICHMOND","Richmond","3",""
"23279","RICHMOND","Richmond","3",""
"23282","RICHMOND","Richmond","3",""
"23284","RICHMOND","Richmond","3",""
"23285","RICHMOND","Richmond","3",""
"23286","RICHMOND","Richmond","3",""
"23288","HENRICO","Richmond","3",""
"23289","RICHMOND","Richmond","3",""
"23290","RICHMOND","Richmond","3",""
"23291","RICHMOND","Richmond","3",""
"23292","RICHMOND","Richmond","3",""
"23293","RICHMOND","Richmond","3",""
"23294","HENRICO","Richmond","3",""
"23295","RICHMOND","Richmond","3",""
"23297","RICHMOND","Richmond","3",""
"23298","RICHMOND","Richmond","3",""
"23801","FORT LEE","Richmond","3",""
"23803","PETERSBURG","Richmond","3",""
"23804","PETERSBURG","Richmond","3",""
"23805","PETERSBURG","Richmond","3",""
"23806","VIRGINIA STATE UNIVERSITY","Richmond","3",""
"23822","AMMON","Richmond","3",""
"23830","CARSON","Richmond","3",""
"23831","CHESTER","Richmond","3",""
"23832","CHESTERFIELD","Richmond","3",""
"23833","CHURCH ROAD","Richmond","3",""
"23834","COLONIAL HEIGHTS","Richmond","3",""
"23836","CHESTER","Richmond","3",""
"23838","CHESTERFIELD","Richmond","3",""
"23840","DEWITT","Richmond","3",""
"23841","DINWIDDIE","Richmond","3",""
"23842","DISPUTANTA","Richmond","3",""
"23850","FORD","Richmond","3",""
"23860","HOPEWELL","Richmond","3",""
"23872","MC KENNEY","Richmond","3",""
"23875","PRINCE GEORGE","Richmond","3",""
"23882","STONY CREEK","Richmond","3",""
"23884","SUSSEX","Richmond","3",""
"23885","SUTHERLAND","Richmond","3",""
"23888","WAKEFIELD","Richmond","3",""
"23890","WAVERLY","Richmond","3",""
"23891","WAVERLY","Richmond","3",""
