"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"73301","AUSTIN","San Antonio","3",""
"73344","AUSTIN","San Antonio","3",""
"78004","BERGHEIM","San Antonio","3",""
"78015","BOERNE","San Antonio","3",""
"78023","HELOTES","San Antonio","3",""
"78054","MACDONA","San Antonio","3",""
"78070","SPRING BRANCH","San Antonio","3",""
"78073","VON ORMY","San Antonio","3",""
"78101","ADKINS","San Antonio","3",""
"78108","CIBOLO","San Antonio","3",""
"78109","CONVERSE","San Antonio","3",""
"78112","ELMENDORF","San Antonio","3",""
"78115","GERONIMO","San Antonio","3",""
"78121","LA VERNIA","San Antonio","3",""
"78123","MC QUEENEY","San Antonio","3",""
"78124","MARION","San Antonio","3",""
"78130","NEW BRAUNFELS","San Antonio","3",""
"78131","NEW BRAUNFELS","San Antonio","3",""
"78132","NEW BRAUNFELS","San Antonio","3",""
"78133","CANYON LAKE","San Antonio","3",""
"78135","NEW BRAUNFELS","San Antonio","3",""
"78148","UNIVERSAL CITY","San Antonio","3",""
"78150","JBSA RANDOLPH","San Antonio","3",""
"78152","SAINT HEDWIG","San Antonio","3",""
"78154","SCHERTZ","San Antonio","3",""
"78155","SEGUIN","San Antonio","3",""
"78156","SEGUIN","San Antonio","3",""
"78161","SUTHERLAND SPRINGS","San Antonio","3",""
"78163","BULVERDE","San Antonio","3",""
"78201","SAN ANTONIO","San Antonio","3",""
"78202","SAN ANTONIO","San Antonio","3",""
"78203","SAN ANTONIO","San Antonio","3",""
"78204","SAN ANTONIO","San Antonio","3",""
"78205","SAN ANTONIO","San Antonio","3",""
"78206","SAN ANTONIO","San Antonio","3",""
"78207","SAN ANTONIO","San Antonio","3",""
"78208","SAN ANTONIO","San Antonio","3",""
"78209","SAN ANTONIO","San Antonio","3",""
"78210","SAN ANTONIO","San Antonio","3",""
"78211","SAN ANTONIO","San Antonio","3",""
"78212","SAN ANTONIO","San Antonio","3",""
"78213","SAN ANTONIO","San Antonio","3",""
"78214","SAN ANTONIO","San Antonio","3",""
"78215","SAN ANTONIO","San Antonio","3",""
"78216","SAN ANTONIO","San Antonio","3",""
"78217","SAN ANTONIO","San Antonio","3",""
"78218","SAN ANTONIO","San Antonio","3",""
"78219","SAN ANTONIO","San Antonio","3",""
"78220","SAN ANTONIO","San Antonio","3",""
"78221","SAN ANTONIO","San Antonio","3",""
"78222","SAN ANTONIO","San Antonio","3",""
"78223","SAN ANTONIO","San Antonio","3",""
"78224","SAN ANTONIO","San Antonio","3",""
"78225","SAN ANTONIO","San Antonio","3",""
"78226","SAN ANTONIO","San Antonio","3",""
"78227","SAN ANTONIO","San Antonio","3",""
"78228","SAN ANTONIO","San Antonio","3",""
"78229","SAN ANTONIO","San Antonio","3",""
"78230","SAN ANTONIO","San Antonio","3",""
"78231","SAN ANTONIO","San Antonio","3",""
"78232","SAN ANTONIO","San Antonio","3",""
"78233","SAN ANTONIO","San Antonio","3",""
"78234","JBSA FT SAM HOUSTON","San Antonio","3",""
"78235","SAN ANTONIO","San Antonio","3",""
"78236","JBSA LACKLAND","San Antonio","3",""
"78237","SAN ANTONIO","San Antonio","3",""
"78238","SAN ANTONIO","San Antonio","3",""
"78239","SAN ANTONIO","San Antonio","3",""
"78240","SAN ANTONIO","San Antonio","3",""
"78241","SAN ANTONIO","San Antonio","3",""
"78242","SAN ANTONIO","San Antonio","3",""
"78243","SAN ANTONIO","San Antonio","3",""
"78244","SAN ANTONIO","San Antonio","3",""
"78245","SAN ANTONIO","San Antonio","3",""
"78246","SAN ANTONIO","San Antonio","3",""
"78247","SAN ANTONIO","San Antonio","3",""
"78248","SAN ANTONIO","San Antonio","3",""
"78249","SAN ANTONIO","San Antonio","3",""
"78250","SAN ANTONIO","San Antonio","3",""
"78251","SAN ANTONIO","San Antonio","3",""
"78252","SAN ANTONIO","San Antonio","3",""
"78253","SAN ANTONIO","San Antonio","3",""
"78254","SAN ANTONIO","San Antonio","3",""
"78255","SAN ANTONIO","San Antonio","3",""
"78256","SAN ANTONIO","San Antonio","3",""
"78257","SAN ANTONIO","San Antonio","3",""
"78258","SAN ANTONIO","San Antonio","3",""
"78259","SAN ANTONIO","San Antonio","3",""
"78260","SAN ANTONIO","San Antonio","3",""
"78261","SAN ANTONIO","San Antonio","3",""
"78263","SAN ANTONIO","San Antonio","3",""
"78264","SAN ANTONIO","San Antonio","3",""
"78265","SAN ANTONIO","San Antonio","3",""
"78266","SAN ANTONIO","San Antonio","3",""
"78268","SAN ANTONIO","San Antonio","3",""
"78269","SAN ANTONIO","San Antonio","3",""
"78270","SAN ANTONIO","San Antonio","3",""
"78278","SAN ANTONIO","San Antonio","3",""
"78279","SAN ANTONIO","San Antonio","3",""
"78280","SAN ANTONIO","San Antonio","3",""
"78283","SAN ANTONIO","San Antonio","3",""
"78284","SAN ANTONIO","San Antonio","3",""
"78285","SAN ANTONIO","San Antonio","3",""
"78288","SAN ANTONIO","San Antonio","3",""
"78289","SAN ANTONIO","San Antonio","3",""
"78291","SAN ANTONIO","San Antonio","3",""
"78292","SAN ANTONIO","San Antonio","3",""
"78293","SAN ANTONIO","San Antonio","3",""
"78294","SAN ANTONIO","San Antonio","3",""
"78295","SAN ANTONIO","San Antonio","3",""
"78296","SAN ANTONIO","San Antonio","3",""
"78297","SAN ANTONIO","San Antonio","3",""
"78298","SAN ANTONIO","San Antonio","3",""
"78299","SAN ANTONIO","San Antonio","3",""
"78604","BELMONT","San Antonio","3",""
"78610","BUDA","San Antonio","3",""
"78613","CEDAR PARK","San Antonio","3",""
"78616","DALE","San Antonio","3",""
"78617","DEL VALLE","San Antonio","3",""
"78619","DRIFTWOOD","San Antonio","3",""
"78620","DRIPPING SPRINGS","San Antonio","3",""
"78622","FENTRESS","San Antonio","3",""
"78623","FISCHER","San Antonio","3",""
"78626","GEORGETOWN","San Antonio","3",""
"78627","GEORGETOWN","San Antonio","3",""
"78628","GEORGETOWN","San Antonio","3",""
"78630","CEDAR PARK","San Antonio","3",""
"78634","HUTTO","San Antonio","3",""
"78638","KINGSBURY","San Antonio","3",""
"78640","KYLE","San Antonio","3",""
"78641","LEANDER","San Antonio","3",""
"78644","LOCKHART","San Antonio","3",""
"78645","LEANDER","San Antonio","3",""
"78646","LEANDER","San Antonio","3",""
"78648","LULING","San Antonio","3",""
"78651","MC NEIL","San Antonio","3",""
"78652","MANCHACA","San Antonio","3",""
"78653","MANOR","San Antonio","3",""
"78655","MARTINDALE","San Antonio","3",""
"78656","MAXWELL","San Antonio","3",""
"78658","OTTINE","San Antonio","3",""
"78660","PFLUGERVILLE","San Antonio","3",""
"78661","PRAIRIE LEA","San Antonio","3",""
"78664","ROUND ROCK","San Antonio","3",""
"78665","ROUND ROCK","San Antonio","3",""
"78666","SAN MARCOS","San Antonio","3",""
"78667","SAN MARCOS","San Antonio","3",""
"78670","STAPLES","San Antonio","3",""
"78676","WIMBERLEY","San Antonio","3",""
"78680","ROUND ROCK","San Antonio","3",""
"78681","ROUND ROCK","San Antonio","3",""
"78682","ROUND ROCK","San Antonio","3",""
"78683","ROUND ROCK","San Antonio","3",""
"78691","PFLUGERVILLE","San Antonio","3",""
"78701","AUSTIN","San Antonio","3",""
"78702","AUSTIN","San Antonio","3",""
"78703","AUSTIN","San Antonio","3",""
"78704","AUSTIN","San Antonio","3",""
"78705","AUSTIN","San Antonio","3",""
"78708","AUSTIN","San Antonio","3",""
"78709","AUSTIN","San Antonio","3",""
"78710","AUSTIN","San Antonio","3",""
"78711","AUSTIN","San Antonio","3",""
"78712","AUSTIN","San Antonio","3",""
"78713","AUSTIN","San Antonio","3",""
"78714","AUSTIN","San Antonio","3",""
"78715","AUSTIN","San Antonio","3",""
"78716","AUSTIN","San Antonio","3",""
"78717","AUSTIN","San Antonio","3",""
"78718","AUSTIN","San Antonio","3",""
"78719","AUSTIN","San Antonio","3",""
"78720","AUSTIN","San Antonio","3",""
"78721","AUSTIN","San Antonio","3",""
"78722","AUSTIN","San Antonio","3",""
"78723","AUSTIN","San Antonio","3",""
"78724","AUSTIN","San Antonio","3",""
"78725","AUSTIN","San Antonio","3",""
"78726","AUSTIN","San Antonio","3",""
"78727","AUSTIN","San Antonio","3",""
"78728","AUSTIN","San Antonio","3",""
