"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"29902","BEAUFORT","Savannah","3","T300"
"29903","BEAUFORT","Savannah","3","T200"
"29904","BEAUFORT","Savannah","3","T200"
"29905","PARRIS ISLAND","Savannah","3","T200"
"29906","BEAUFORT","Savannah","3","T200"
"29907","BEAUFORT","Savannah","3","T300"
"29909","OKATIE","Savannah","3",""
"29910","BLUFFTON","Savannah","3","T200"
"29912","COOSAWHATCHIE","Savannah","3",""
"29915","DAUFUSKIE ISLAND","Savannah","3",""
"29918","ESTILL","Savannah","3",""
"29920","SAINT HELENA ISLAND","Savannah","3",""
"29921","FURMAN","Savannah","3",""
"29922","GARNETT","Savannah","3",""
"29923","GIFFORD","Savannah","3",""
"29924","HAMPTON","Savannah","3",""
"29925","HILTON HEAD ISLAND","Savannah","3","T400"
"29926","HILTON HEAD ISLAND","Savannah","3","T400"
"29927","HARDEEVILLE","Savannah","3",""
"29928","HILTON HEAD ISLAND","Savannah","3","T400"
"29932","LURAY","Savannah","3",""
"29934","PINELAND","Savannah","3",""
"29935","PORT ROYAL","Savannah","3",""
"29936","RIDGELAND","Savannah","3",""
"29938","HILTON HEAD ISLAND","Savannah","3","T400"
"29939","SCOTIA","Savannah","3",""
"29940","SEABROOK","Savannah","3",""
"29943","TILLMAN","Savannah","3","T400"
"30414","BELLVILLE","Savannah","3",""
"30415","BROOKLET","Savannah","3",""
"30417","CLAXTON","Savannah","3",""
"30423","DAISY","Savannah","3",""
"30424","DOVER","Savannah","3",""
"30425","GARFIELD","Savannah","3",""
"30427","GLENNVILLE","Savannah","3",""
"30429","HAGAN","Savannah","3",""
"30438","MANASSAS","Savannah","3",""
"30446","NEWINGTON","Savannah","3",""
"30449","OLIVER","Savannah","3",""
"30450","PORTAL","Savannah","3",""
"30451","PULASKI","Savannah","3",""
"30452","REGISTER","Savannah","3",""
"30455","ROCKY FORD","Savannah","3",""
"30458","STATESBORO","Savannah","3",""
"30459","STATESBORO","Savannah","3",""
"30460","STATESBORO","Savannah","3",""
"30461","STATESBORO","Savannah","3",""
"30467","SYLVANIA","Savannah","3",""
"31301","ALLENHURST","Savannah","3","T400"
"31302","BLOOMINGDALE","Savannah","3",""
"31303","CLYO","Savannah","3",""
"31307","EDEN","Savannah","3",""
"31308","ELLABELL","Savannah","3",""
"31309","FLEMING","Savannah","3",""
"31310","HINESVILLE","Savannah","3","T400"
"31312","GUYTON","Savannah","3",""
"31313","HINESVILLE","Savannah","3",""
"31314","FORT STEWART","Savannah","3",""
"31315","FORT STEWART","Savannah","3",""
"31318","MELDRIM","Savannah","3",""
"31320","MIDWAY","Savannah","3",""
"31321","PEMBROKE","Savannah","3","T400"
"31322","POOLER","Savannah","3",""
"31323","RICEBORO","Savannah","3",""
"31324","RICHMOND HILL","Savannah","3",""
"31326","RINCON","Savannah","3",""
"31328","TYBEE ISLAND","Savannah","3",""
"31329","SPRINGFIELD","Savannah","3",""
"31333","WALTHOURVILLE","Savannah","3","T400"
"31401","SAVANNAH","Savannah","3",""
"31402","SAVANNAH","Savannah","3",""
"31403","SAVANNAH","Savannah","3",""
"31404","SAVANNAH","Savannah","3",""
"31405","SAVANNAH","Savannah","3",""
"31406","SAVANNAH","Savannah","3",""
"31407","PORT WENTWORTH","Savannah","3",""
"31408","SAVANNAH","Savannah","3",""
"31409","SAVANNAH","Savannah","3",""
"31410","SAVANNAH","Savannah","3",""
"31411","SAVANNAH","Savannah","3",""
"31412","SAVANNAH","Savannah","3",""
"31414","SAVANNAH","Savannah","3",""
"31415","SAVANNAH","Savannah","3",""
"31416","SAVANNAH","Savannah","3",""
"31418","SAVANNAH","Savannah","3",""
"31419","SAVANNAH","Savannah","3",""
"31420","SAVANNAH","Savannah","3",""
"31421","SAVANNAH","Savannah","3",""
