"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"62002","ALTON","St. Louis","3",""
"62010","BETHALTO","St. Louis","3",""
"62013","BRUSSELS","St. Louis","3",""
"62018","COTTAGE HILLS","St. Louis","3",""
"62021","DORSEY","St. Louis","3",""
"62022","DOW","St. Louis","3",""
"62024","EAST ALTON","St. Louis","3",""
"62025","EDWARDSVILLE","St. Louis","3",""
"62026","EDWARDSVILLE","St. Louis","3",""
"62028","ELSAH","St. Louis","3",""
"62034","GLEN CARBON","St. Louis","3",""
"62035","GODFREY","St. Louis","3",""
"62036","GOLDEN EAGLE","St. Louis","3",""
"62040","GRANITE CITY","St. Louis","3",""
"62048","HARTFORD","St. Louis","3",""
"62059","LOVEJOY","St. Louis","3",""
"62060","MADISON","St. Louis","3",""
"62061","MARINE","St. Louis","3",""
"62062","MARYVILLE","St. Louis","3",""
"62067","MORO","St. Louis","3",""
"62071","NATIONAL STOCK YARDS","St. Louis","3",""
"62084","ROXANA","St. Louis","3",""
"62087","SOUTH ROXANA","St. Louis","3",""
"62090","VENICE","St. Louis","3",""
"62095","WOOD RIVER","St. Louis","3",""
"62201","EAST SAINT LOUIS","St. Louis","3",""
"62202","EAST SAINT LOUIS","St. Louis","3",""
"62203","EAST SAINT LOUIS","St. Louis","3",""
"62204","EAST SAINT LOUIS","St. Louis","3",""
"62205","EAST SAINT LOUIS","St. Louis","3",""
"62206","EAST SAINT LOUIS","St. Louis","3",""
"62207","EAST SAINT LOUIS","St. Louis","3",""
"62208","FAIRVIEW HEIGHTS","St. Louis","3",""
"62220","BELLEVILLE","St. Louis","3",""
"62221","BELLEVILLE","St. Louis","3",""
"62222","BELLEVILLE","St. Louis","3",""
"62223","BELLEVILLE","St. Louis","3",""
"62225","SCOTT AIR FORCE BASE","St. Louis","3",""
"62226","BELLEVILLE","St. Louis","3",""
"62232","CASEYVILLE","St. Louis","3",""
"62234","COLLINSVILLE","St. Louis","3",""
"62236","COLUMBIA","St. Louis","3",""
"62239","DUPO","St. Louis","3",""
"62240","EAST CARONDELET","St. Louis","3",""
"62243","FREEBURG","St. Louis","3",""
"62244","FULTS","St. Louis","3",""
"62248","HECKER","St. Louis","3",""
"62254","LEBANON","St. Louis","3",""
"62256","MAEYSTOWN","St. Louis","3",""
