"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"31601","VALDOSTA","Tallahassee","3","T200"
"31602","VALDOSTA","Tallahassee","3","T200"
"31603","VALDOSTA","Tallahassee","3","T200"
"31604","VALDOSTA","Tallahassee","3","T300"
"31605","VALDOSTA","Tallahassee","3","T300"
"31606","VALDOSTA","Tallahassee","3","T300"
"31620","ADEL","Tallahassee","3","T300"
"31625","BARNEY","Tallahassee","3","T200"
"31626","BOSTON","Tallahassee","3","T400"
"31627","CECIL","Tallahassee","3","T300"
"31629","DIXIE","Tallahassee","3","T400"
"31632","HAHIRA","Tallahassee","3","T300"
"31636","LAKE PARK","Tallahassee","3","T400"
"31637","LENOX","Tallahassee","3","T300"
"31638","MORVEN","Tallahassee","3","T200"
"31639","NASHVILLE","Tallahassee","3","T400"
"31641","NAYLOR","Tallahassee","3","T300"
"31643","QUITMAN","Tallahassee","3","T200"
"31645","RAY CITY","Tallahassee","3","T400"
"31647","SPARKS","Tallahassee","3","T300"
"31698","VALDOSTA","Tallahassee","3","T200"
"31699","MOODY AFB","Tallahassee","3","T400"
"31705","ALBANY","Tallahassee","3","T200"
"31714","ASHBURN","Tallahassee","3","T400"
"31715","","Tallahassee","3",""
"31716","BACONTON","Tallahassee","3","T200"
"31717","","Tallahassee","3",""
"31718","","Tallahassee","3",""
"31720","BARWICK","Tallahassee","3","T400"
"31721","ALBANY","Tallahassee","3",""
"31722","BERLIN","Tallahassee","3","T200"
"31725","","Tallahassee","3",""
"31727","BROOKFIELD","Tallahassee","3","T400"
"31728","","Tallahassee","3",""
"31729","","Tallahassee","3",""
"31730","CAMILLA","Tallahassee","3",""
"31733","CHULA","Tallahassee","3","T400"
"31734","","Tallahassee","3",""
"31737","","Tallahassee","3","T200"
"31738","COOLIDGE","Tallahassee","3","T400"
"31739","COTTON","Tallahassee","3",""
"31741","","Tallahassee","3",""
"31744","DOERUN","Tallahassee","3","T200"
"31745","","Tallahassee","3",""
"31747","ELLENTON","Tallahassee","3","T200"
"31749","ENIGMA","Tallahassee","3","T400"
"31752","","Tallahassee","3",""
"31753","FUNSTON","Tallahassee","3",""
"31756","HARTSFIELD","Tallahassee","3",""
"31757","THOMASVILLE","Tallahassee","3",""
"31758","THOMASVILLE","Tallahassee","3","T400"
"31759","","Tallahassee","3",""
"31760","IRWINVILLE","Tallahassee","3","T400"
"31761","","Tallahassee","3",""
"31763","LEESBURG","Tallahassee","3",""
"31765","MEIGS","Tallahassee","3",""
"31768","MOULTRIE","Tallahassee","3",""
"31770","","Tallahassee","3",""
"31771","NORMAN PARK","Tallahassee","3","T200"
"31773","OCHLOCKNEE","Tallahassee","3","T400"
"31774","OCILLA","Tallahassee","3",""
"31775","OMEGA","Tallahassee","3","T200"
"31776","MOULTRIE","Tallahassee","3","T200"
"31778","PAVO","Tallahassee","3","T400"
"31779","PELHAM","Tallahassee","3",""
"31781","POULAN","Tallahassee","3","T300"
