"Zip Code","City","Location","Self-Schedule","Tier Code (SP)"
"28320","BLADENBORO","Wilmington","3","T200"
"28332","DUBLIN","Wilmington","3","T200"
"28337","ELIZABETHTOWN","Wilmington","3",""
"28401","WILMINGTON","Wilmington","3",""
"28402","WILMINGTON","Wilmington","3",""
"28403","WILMINGTON","Wilmington","3",""
"28404","WILMINGTON","Wilmington","3",""
"28405","WILMINGTON","Wilmington","3",""
"28406","WILMINGTON","Wilmington","3",""
"28407","WILMINGTON","Wilmington","3",""
"28408","WILMINGTON","Wilmington","3",""
"28409","WILMINGTON","Wilmington","3",""
"28410","WILMINGTON","Wilmington","3",""
"28411","WILMINGTON","Wilmington","3",""
"28412","WILMINGTON","Wilmington","3",""
"28420","ASH","Wilmington","3",""
"28421","ATKINSON","Wilmington","3","T400"
"28422","BOLIVIA","Wilmington","3",""
"28423","BOLTON","Wilmington","3","T400"
"28424","BRUNSWICK","Wilmington","3","T400"
"28425","BURGAW","Wilmington","3",""
"28428","CAROLINA BEACH","Wilmington","3",""
"28429","CASTLE HAYNE","Wilmington","3",""
"28430","CERRO GORDO","Wilmington","3",""
"28431","CHADBOURN","Wilmington","3",""
"28432","CLARENDON","Wilmington","3","T200"
"28433","CLARKTON","Wilmington","3",""
"28434","COUNCIL","Wilmington","3","T400"
"28435","CURRIE","Wilmington","3",""
"28436","DELCO","Wilmington","3",""
"28438","EVERGREEN","Wilmington","3",""
"28441","GARLAND","Wilmington","3","T200"
"28442","HALLSBORO","Wilmington","3","T400"
"28443","HAMPSTEAD","Wilmington","3",""
"28444","HARRELLS","Wilmington","3","T400"
"28445","HOLLY RIDGE","Wilmington","3",""
"28447","IVANHOE","Wilmington","3","T400"
"28448","KELLY","Wilmington","3","T400"
"28449","KURE BEACH","Wilmington","3",""
"28450","LAKE WACCAMAW","Wilmington","3",""
"28451","LELAND","Wilmington","3",""
"28452","LONGWOOD","Wilmington","3","T400"
"28453","MAGNOLIA","Wilmington","3",""
"28454","MAPLE HILL","Wilmington","3",""
"28455","NAKINA","Wilmington","3","T200"
"28456","RIEGELWOOD","Wilmington","3",""
"28457","ROCKY POINT","Wilmington","3",""
"28458","ROSE HILL","Wilmington","3",""
"28459","SHALLOTTE","Wilmington","3",""
"28460","SNEADS FERRY","Wilmington","3",""
"28461","SOUTHPORT","Wilmington","3",""
"28462","SUPPLY","Wilmington","3",""
"28463","TABOR CITY","Wilmington","3","T200"
"28464","TEACHEY","Wilmington","3",""
"28465","OAK ISLAND","Wilmington","3",""
"28466","WALLACE","Wilmington","3",""
"28467","CALABASH","Wilmington","3",""
"28468","SUNSET BEACH","Wilmington","3",""
"28469","OCEAN ISLE BEACH","Wilmington","3",""
"28470","SHALLOTTE","Wilmington","3",""
"28472","WHITEVILLE","Wilmington","3",""
"28478","WILLARD","Wilmington","3",""
"28479","WINNABOW","Wilmington","3",""
"28480","WRIGHTSVILLE BEACH","Wilmington","3",""
"28518","BEULAVILLE","Wilmington","3",""
"28521","CHINQUAPIN","Wilmington","3","T200"
"28539","HUBERT","Wilmington","3",""
"28540","JACKSONVILLE","Wilmington","3",""
"28541","JACKSONVILLE","Wilmington","3",""
"28542","CAMP LEJEUNE","Wilmington","3",""
"28543","TARAWA TERRACE","Wilmington","3",""
"28544","MIDWAY PARK","Wilmington","3",""
"28545","MCCUTCHEON FIELD","Wilmington","3",""
"28546","JACKSONVILLE","Wilmington","3",""
"28547","CAMP LEJEUNE","Wilmington","3",""
"28557","MOREHEAD CITY","Wilmington","3",""
"28570","NEWPORT","Wilmington","3",""
"28574","RICHLANDS","Wilmington","3","T200"
"28584","SWANSBORO","Wilmington","3",""
"29511","AYNOR","Wilmington","3",""
"29526","CONWAY","Wilmington","3","T300"
"29527","CONWAY","Wilmington","3","T300"
"29528","CONWAY","Wilmington","3","T300"
"29545","GREEN SEA","Wilmington","3",""
"29566","LITTLE RIVER","Wilmington","3",""
"29568","LONGS","Wilmington","3","T200"
"29569","LORIS","Wilmington","3","T300"
"29572","MYRTLE BEACH","Wilmington","3","T200"
"29575","MYRTLE BEACH","Wilmington","3","T300"
"29576","MURRELLS INLET","Wilmington","3","T300"
"29577","MYRTLE BEACH","Wilmington","3","T300"
"29578","MYRTLE BEACH","Wilmington","3","T300"
"29579","MYRTLE BEACH","Wilmington","3","T200"
"29582","NORTH MYRTLE BEACH","Wilmington","3","T200"
"29587","MYRTLE BEACH","Wilmington","3","T300"
"29588","MYRTLE BEACH","Wilmington","3","T300"
"29597","NORTH MYRTLE BEACH","Wilmington","3","T200"
"29598","NORTH MYRTLE BEACH","Wilmington","3","T200"
